county,year,n_total,n_sf,n_condo,avg_total,avg_sf,avg_condo,n_local,n_mainland,n_foreign,avg_local,avg_mainland,avg_foreign
Honolulu,2015,13214,4579,8635,584178,863969,435810,11470,1299,445,572646,645150,703436
Honolulu,2016,13502,4499,9003,676253,884427,572223,11578,1221,703,634736,720084,1283884
Honolulu,2017,13753,4417,9336,723886,945206,619177,11978,1214,561,685414,808613,1361971
Honolulu,2018,12993,4343,8650,754537,1032415,615019,11052,1202,739,705448,898862,1253924
Honolulu,2019,12553,4458,8095,695365,967045,545748,10933,1204,416,677292,751161,1008848
Honolulu,2020,11146,4450,6696,731263,1011881,544771,10085,896,165,713090,880938,1029211
Honolulu,2021,15741,5197,10544,807955,1220766,604485,13420,1991,330,779073,945487,1152692
Honolulu,2022,13467,4181,9286,869977,1338057,659226,11124,1970,373,838896,982279,1203795
Honolulu,2023,9851,3207,6644,861186,1255100,671048,7880,1599,372,832729,948927,1086854
Honolulu,2024,11396,3707,7689,903327,1298853,712637,9244,1752,400,877899,903898,1488469
Honolulu,2025,11097,3563,7534,883513,1349345,663211,9202,1531,364,865054,940974,1108486
Hawaii,2015,2822,2016,806,530062,541472,501523,1714,1066,42,393737,731083,991329
Hawaii,2016,2968,2149,819,528106,555114,457241,1812,1119,37,365097,772918,1107271
Hawaii,2017,3253,2288,965,560023,565379,547325,1875,1312,66,368212,816553,909738
Hawaii,2018,3412,2329,1083,537563,515642,584705,2002,1329,81,394462,704015,1343418
Hawaii,2019,3889,2798,1091,514905,511617,523336,2404,1419,66,375371,728322,1008840
Hawaii,2020,4208,3267,941,564275,535846,662977,2781,1383,44,381656,904828,1402448
Hawaii,2021,5724,4334,1390,685017,658719,767014,3421,2228,75,420565,1073909,1194881
Hawaii,2022,4688,3692,996,665318,599544,909131,2874,1764,50,433299,1010326,1829895
Hawaii,2023,3648,2877,771,652539,584437,906665,2321,1288,39,447524,996457,1495441
Hawaii,2024,4236,3231,1005,745999,697383,902297,2524,1660,52,480407,1114949,1859404
Hawaii,2025,3675,2983,692,748013,672594,1073120,2467,1175,33,497181,1230191,2331152
Maui,2015,2569,1172,1397,667061,694111,644367,1392,1090,87,522070,818362,1091288
Maui,2016,2576,1112,1464,695789,780522,631430,1428,1077,71,537552,879948,1084852
Maui,2017,2605,1107,1498,759567,791034,736314,1450,1076,79,561784,998129,1140488
Maui,2018,2828,1289,1539,776665,842371,721633,1768,964,96,623047,1020893,1153351
Maui,2019,2520,1278,1242,779415,865021,691327,1760,712,48,648012,1045693,1647725
Maui,2020,2318,1332,986,892484,965117,794362,1629,656,33,724193,1276787,1560415
Maui,2021,3099,1710,1389,1229938,1461656,944670,1975,1069,55,978509,1665497,1792832
Maui,2022,2105,1304,801,1227565,1380198,979083,1390,677,38,982804,1640098,2831073
Maui,2023,1491,859,632,1364072,1416056,1293416,1005,453,33,1024270,2044222,2375980
Maui,2024,1625,1008,617,1483697,1480940,1488202,1128,448,49,1103117,2345716,2363496
Maui,2025,1247,842,405,1427364,1567915,1135156,915,316,16,1102874,2237541,3983125
Kauai,2015,750,460,290,717287,768638,635833,501,243,6,527757,1105254,830333
Kauai,2016,788,479,309,654954,669030,633134,493,285,10,505950,890118,1298643
Kauai,2017,863,528,335,611043,662046,530656,532,315,16,474700,848181,475781
Kauai,2018,1176,671,505,722596,735590,705332,703,461,12,576855,933613,1154042
Kauai,2019,1148,653,495,716973,722315,709925,726,412,10,563867,987369,692130
Kauai,2020,877,469,408,814052,861582,759416,586,290,1,652267,1134725,2625000
Kauai,2021,1406,807,599,1146798,1236389,1026096,880,518,8,787916,1749830,1577375
Kauai,2022,871,489,382,1302071,1406124,1168871,535,324,12,916197,1949351,1029044
Kauai,2023,648,388,260,1218975,1271167,1141089,383,258,7,964893,1571849,2115000
Kauai,2024,750,435,315,1302926,1386861,1187017,494,250,6,924593,1988763,3875833
Kauai,2025,890,492,398,1313768,1708999,825191,604,284,2,985714,2013208,1065567
State,2015,19355,8227,11128,592447,755414,471964,15077,3698,580,546146,751210,783774
State,2016,19834,8239,11595,655775,771985,573200,15311,3702,821,589614,795652,1258892
State,2017,20474,8340,12134,697634,802613,625480,15835,3917,722,629455,866514,1276758
State,2018,20409,8632,11777,719489,841532,630036,15525,3956,928,650139,867190,1250040
State,2019,20110,9187,10923,672232,796752,567502,15823,3747,540,622960,824451,1059771
State,2020,18549,9518,9031,717442,834534,594035,15081,3225,243,650808,994524,1175499
State,2021,25970,12048,13922,849558,1053819,672793,19696,5806,468,737197,1199098,1241943
State,2022,21131,9666,11465,878005,1065105,720263,15923,4735,473,780848,1152955,1396278
State,2023,15638,7331,8307,875287,1011613,754978,11589,3598,451,776560,1148510,1232470
State,2024,18007,8381,9626,935334,1093445,797674,13390,4110,507,823668,1212291,1639335
State,2025,16909,7880,9029,916818,1138969,722936,13188,3306,415,818264,1259806,1316333
