value_lo,owner_occupied,improved,condo,count,sum_value
0,0,0,0,2317,89855500
0,0,0,1,817,13293400
0,0,1,0,826,161371600
0,0,1,1,1218,270141700
0,1,0,0,5,0
0,1,1,0,66,15667600
0,1,1,1,15,3170800
300000,0,0,0,227,104560300
300000,0,0,1,129,52914000
300000,0,1,0,1031,465954500
300000,0,1,1,4276,2082076500
300000,1,0,0,2,968500
300000,1,1,0,1438,630823000
300000,1,1,1,1808,904240300
600000,0,0,0,298,202065000
600000,0,0,1,20,13832000
600000,0,1,0,1121,794849900
600000,0,1,1,4175,2864082200
600000,1,0,0,1,671800
600000,1,1,0,1883,1348616400
600000,1,1,1,1100,752780700
800000,0,0,0,93,81655800
800000,0,0,1,15,13146900
800000,0,1,0,1673,1514199500
800000,0,1,1,2362,2104149500
800000,1,0,0,1,851400
800000,1,1,0,4731,4305497000
800000,1,1,1,680,616612300
1000000,0,0,0,89,100302700
1000000,0,0,1,6,6633500
1000000,0,1,0,2151,2396607700
1000000,0,1,1,1960,2183212700
1000000,1,1,0,6007,6689223500
1000000,1,1,1,428,475383900
1250000,0,0,0,63,84873900
1250000,0,0,1,2,2624100
1250000,0,1,0,1348,1846178900
1250000,0,1,1,1256,1707039300
1250000,1,1,0,3412,4643460100
1250000,1,1,1,239,325521300
1500000,0,0,0,23,36943400
1500000,0,0,1,1,1715200
1500000,0,1,0,711,1149361300
1500000,0,1,1,816,1318542800
1500000,1,1,0,1613,2604179600
1500000,1,1,1,211,341380400
1750000,0,0,0,14,26459300
1750000,0,0,1,1,1826200
1750000,0,1,0,450,838418500
1750000,0,1,1,469,873995900
1750000,1,1,0,917,1708924900
1750000,1,1,1,128,238615800
2000000,0,0,0,19,39824400
2000000,0,0,1,2,4459200
2000000,0,1,0,313,663125400
2000000,0,1,1,245,516945900
2000000,1,1,0,577,1218405600
2000000,1,1,1,69,146893900
2250000,0,0,0,10,23775800
2250000,0,0,1,10,23782500
2250000,0,1,0,228,540949200
2250000,0,1,1,205,491125100
2250000,1,1,0,350,827546600
2250000,1,1,1,37,86771500
2500000,0,0,0,12,31480900
2500000,0,0,1,6,15595600
2500000,0,1,0,178,466900700
2500000,0,1,1,238,626055200
2500000,1,1,0,209,546493800
2500000,1,1,1,65,169832900
2750000,0,0,0,5,14630500
2750000,0,0,1,5,14115400
2750000,0,1,0,128,368139900
2750000,0,1,1,261,751579500
2750000,1,1,0,149,426439700
2750000,1,1,1,42,119903700
3000000,0,0,0,9,28354600
3000000,0,0,1,4,12630500
3000000,0,1,0,110,343862700
3000000,0,1,1,133,413887500
3000000,1,1,0,113,353210100
3000000,1,1,1,12,37031100
3250000,0,0,0,2,6620100
3250000,0,0,1,4,13397600
3250000,0,1,0,98,330939600
3250000,0,1,1,55,184318200
3250000,1,1,0,90,303210000
3250000,1,1,1,7,23551200
3500000,0,0,0,1,3590200
3500000,0,1,0,87,316161600
3500000,0,1,1,224,810386100
3500000,1,1,0,70,252449600
3500000,1,1,1,13,47018600
3750000,0,0,0,2,7845600
3750000,0,0,1,1,3905300
3750000,0,1,0,103,399841800
3750000,0,1,1,70,271099600
3750000,1,1,0,52,201045300
3750000,1,1,1,5,19022100
4000000,0,0,0,3,12363200
4000000,0,1,0,59,242243300
4000000,0,1,1,121,501506500
4000000,1,1,0,42,173544700
4000000,1,1,1,9,37275000
4250000,0,0,0,2,8523300
4250000,0,1,0,60,263051200
4250000,0,1,1,98,429096200
4250000,1,1,0,34,148528700
4250000,1,1,1,8,34846200
4500000,0,0,0,4,18378900
4500000,0,1,0,44,202681000
4500000,0,1,1,92,426515200
4500000,1,1,0,28,129518000
4500000,1,1,1,7,32572600
4750000,0,0,0,2,9712400
