fy,category,bin_lo,count,sum_price
2023,owner,0,352,90599360
2023,owner,600000,129,90432953
2023,owner,800000,242,217715238
2023,owner,1000000,98,108871435
2023,owner,1250000,77,103810994
2023,owner,1500000,40,64857000
2023,owner,1750000,29,53803025
2023,owner,2000000,10,21155000
2023,owner,2250000,13,30475000
2023,owner,2500000,4,10520000
2023,owner,2750000,5,14149000
2023,owner,3000000,6,18561100
2023,owner,3250000,1,3345000
2023,owner,3500000,3,10894892
2023,owner,3750000,2,7800000
2023,owner,4000000,1,4050000
2023,owner,4250000,4,17192000
2023,owner,4500000,1,4500000
2023,owner,5000000,2,10300000
2023,owner,5750000,3,17625000
2023,owner,6000000,1,6350000
2023,owner,7000000,2,14350000
2023,owner,7500000,1,7900000
2023,owner,8500000,1,8900000
2023,owner,9000000,1,9200000
2023,owner,9500000,2,19600000
2023,nonowner,0,509,134124702
2023,nonowner,600000,225,158058388
2023,nonowner,800000,229,203060696
2023,nonowner,1000000,174,194281444
2023,nonowner,1250000,112,151633913
2023,nonowner,1500000,79,126015170
2023,nonowner,1750000,51,95566900
2023,nonowner,2000000,32,67091400
2023,nonowner,2250000,19,44372500
2023,nonowner,2500000,20,51807005
2023,nonowner,2750000,11,31358000
2023,nonowner,3000000,13,40342236
2023,nonowner,3250000,8,26933100
2023,nonowner,3500000,8,28862005
2023,nonowner,3750000,8,30984800
2023,nonowner,4000000,6,24240858
2023,nonowner,4250000,4,17525000
2023,nonowner,4500000,6,27353100
2023,nonowner,4750000,5,24280000
2023,nonowner,5000000,4,20212500
2023,nonowner,5250000,4,21150000
2023,nonowner,5500000,6,33615000
2023,nonowner,5750000,4,23349990
2023,nonowner,6000000,4,24825000
2023,nonowner,6500000,1,6500000
2023,nonowner,7000000,1,7200000
2023,nonowner,7500000,7,53835400
2023,nonowner,8000000,3,24400000
2023,nonowner,8500000,1,8930000
2023,nonres,0,235,68861703
2023,nonres,600000,33,22619535
2023,nonres,800000,36,32415812
2023,nonres,1000000,30,33017772
2023,nonres,1250000,13,18044969
2023,nonres,1500000,18,28890948
2023,nonres,1750000,11,20521218
2023,nonres,2000000,7,14722857
2023,nonres,2250000,6,14492600
2023,nonres,2500000,7,18075120
2023,nonres,2750000,1,2850000
2023,nonres,3000000,2,6098316
2023,nonres,3250000,3,10099700
2023,nonres,3500000,5,17868274
2023,nonres,3750000,3,11497772
2023,nonres,4000000,2,8437000
2023,nonres,4250000,4,17400028
2023,nonres,4500000,1,4600000
2023,nonres,4750000,1,4900000
2023,nonres,5000000,1,5100000
2023,nonres,5250000,2,10643775
2023,nonres,5750000,1,5852286
2023,nonres,7500000,1,7550000
2023,nonres,9500000,1,9875000
2024,owner,0,318,74410134
2024,owner,600000,137,94955916
2024,owner,800000,127,113787405
2024,owner,1000000,130,147219321
2024,owner,1250000,106,142498660
2024,owner,1500000,42,67012836
2024,owner,1750000,31,58126814
2024,owner,2000000,15,32080850
2024,owner,2250000,14,32645000
2024,owner,2500000,10,25833550
2024,owner,2750000,7,19689608
2024,owner,3000000,6,18662000
2024,owner,3250000,3,10075000
2024,owner,3500000,2,7105000
2024,owner,3750000,3,11438275
2024,owner,4000000,1,4000000
2024,owner,4750000,1,4750000
2024,owner,5500000,1,5513000
2024,owner,6000000,1,6450000
2024,owner,6500000,1,6977950
2024,owner,7500000,1,7500000
2024,owner,9000000,1,9267009
2024,nonowner,0,412,112864400
2024,nonowner,600000,199,140414133
2024,nonowner,800000,198,176789765
2024,nonowner,1000000,104,115864454
2024,nonowner,1250000,118,159586002
2024,nonowner,1500000,97,156137325
2024,nonowner,1750000,53,99327122
2024,nonowner,2000000,23,49013237
2024,nonowner,2250000,26,61326141
2024,nonowner,2500000,30,78670350
2024,nonowner,2750000,19,54499705
2024,nonowner,3000000,11,33872350
2024,nonowner,3250000,18,59914400
2024,nonowner,3500000,17,61062450
2024,nonowner,3750000,12,46426000
2024,nonowner,4000000,13,53345000
2024,nonowner,4250000,6,26123501
2024,nonowner,4500000,5,22985000
