fy,category,value_lo,owner_occupied_now,improved,condo,count,sum_price,sum_value
2023,owner,0,0,1,0,2,364950,389600
2023,owner,0,0,1,1,9,2352900,2031400
2023,owner,300000,0,1,0,11,5632700,4966200
2023,owner,300000,0,1,1,43,21839636,21061800
2023,owner,300000,1,1,0,15,8040700,7172300
2023,owner,300000,1,1,1,88,45923499,45178900
2023,owner,600000,0,1,0,10,6837700,7252900
2023,owner,600000,0,1,1,30,21292900,20116100
2023,owner,600000,1,1,0,21,18293999,15068800
2023,owner,600000,1,1,1,40,27702900,27874100
2023,owner,800000,0,1,0,21,18415771,18633300
2023,owner,800000,0,1,1,9,7838000,7981200
2023,owner,800000,1,1,0,69,58730136,63246400
2023,owner,800000,1,1,1,34,30329949,30543600
2023,owner,1000000,0,1,0,31,32173785,35077200
2023,owner,1000000,0,1,1,10,10626840,11064500
2023,owner,1000000,1,1,0,109,106793067,121529100
2023,owner,1000000,1,1,1,8,9272500,8929400
2023,owner,1250000,0,1,0,18,21227361,24338100
2023,owner,1250000,0,1,1,6,10207000,8029400
2023,owner,1250000,1,1,0,89,109061380,119492800
2023,owner,1250000,1,1,1,7,10990000,9925800
2023,owner,1500000,0,1,0,8,12905000,13278000
2023,owner,1500000,0,1,1,5,7977000,7894600
2023,owner,1500000,1,1,0,24,37426654,38971700
2023,owner,1500000,1,1,1,2,3265000,3140600
2023,owner,1750000,0,1,0,7,12802500,12825200
2023,owner,1750000,0,1,1,1,1600000,1821800
2023,owner,1750000,1,1,0,14,25936660,25966700
2023,owner,1750000,1,1,1,5,9568000,9225100
2023,owner,2000000,0,1,0,3,5029000,6306900
2023,owner,2000000,0,1,1,1,2400000,2189500
2023,owner,2000000,1,1,0,9,16275000,19068000
2023,owner,2000000,1,1,1,1,2050000,2189500
2023,owner,2250000,1,1,0,3,6170000,6940000
2023,owner,2500000,0,1,0,2,5633000,5323800
2023,owner,2500000,1,1,0,3,8894892,7688400
2023,owner,2500000,1,1,1,2,5350000,5290300
2023,owner,2750000,0,1,0,2,4700000,5751100
2023,owner,2750000,0,1,1,1,2550000,2846200
2023,owner,2750000,1,1,0,4,10654000,11730600
2023,owner,2750000,1,1,1,2,6098100,5822200
2023,owner,3000000,0,1,0,1,2850000,3130900
2023,owner,3000000,1,1,0,1,2200000,3135400
2023,owner,3250000,0,1,0,2,9850000,6682600
2023,owner,3250000,1,1,0,2,6095000,6884400
2023,owner,3500000,0,1,0,1,4330000,3644300
2023,owner,3500000,1,1,0,1,4050000,3630900
2023,owner,3750000,0,1,0,1,3900000,3973100
2023,owner,4250000,1,1,0,2,8200000,8769700
2023,owner,4500000,0,1,0,1,4262000,4537400
2023,owner,4500000,1,1,0,1,5800000,4607600
2023,owner,4750000,1,1,1,1,5875000,4996500
2023,owner,5000000,0,1,0,1,4500000,5094300
2023,owner,5000000,1,1,1,1,5100000,5186900
2023,owner,5500000,0,1,0,1,6350000,5625200
2023,owner,6000000,0,1,0,1,8900000,6152600
2023,owner,6000000,1,1,1,1,5950000,6348900
2023,owner,6500000,0,1,1,1,7350000,6757900
2023,owner,8000000,1,1,0,1,9850000,8496500
2023,owner,10000000,0,1,0,1,9750000,11940400
2023,owner,15000000,1,1,1,1,9200000,15514400
2023,nonowner,0,0,0,0,11,1600620,1695300
2023,nonowner,0,0,1,0,10,3369200,2463300
2023,nonowner,0,0,1,1,54,13007650,12154800
2023,nonowner,300000,0,0,0,4,1864170,1724100
2023,nonowner,300000,0,0,1,2,1523000,1104500
2023,nonowner,300000,0,1,0,14,7180379,6831000
2023,nonowner,300000,0,1,1,190,109006098,95065300
2023,nonowner,300000,1,1,0,5,2704000,2173700
2023,nonowner,300000,1,1,1,18,7513400,8378300
2023,nonowner,600000,0,0,0,5,3077000,3297500
2023,nonowner,600000,0,1,0,20,16587220,14642500
2023,nonowner,600000,0,1,1,205,164488279,141081800
2023,nonowner,600000,1,1,0,5,2913750,3580300
2023,nonowner,600000,1,1,1,4,2351000,2826900
2023,nonowner,800000,0,0,0,3,3427765,2768500
2023,nonowner,800000,0,0,1,3,2225000,2679700
2023,nonowner,800000,0,1,0,32,29504927,28789700
2023,nonowner,800000,0,1,1,115,116359463,103254200
2023,nonowner,800000,1,1,0,11,8677000,10289200
2023,nonowner,800000,1,1,1,3,2698000,2816900
2023,nonowner,1000000,0,0,0,3,4330000,3638500
2023,nonowner,1000000,0,0,1,2,2235928,2236400
2023,nonowner,1000000,0,1,0,37,38388632,40990100
2023,nonowner,1000000,0,1,1,89,107906228,99729800
2023,nonowner,1000000,1,1,0,21,19782464,23117400
2023,nonowner,1000000,1,1,1,2,2320000,2128100
2023,nonowner,1250000,0,0,0,2,2450000,2769200
2023,nonowner,1250000,0,1,0,24,31007209,32474200
2023,nonowner,1250000,0,1,1,68,94559502,92577800
2023,nonowner,1250000,1,1,0,10,10837000,13059700
2023,nonowner,1250000,1,1,1,1,1390000,1441800
2023,nonowner,1500000,0,0,0,4,5937000,6560200
2023,nonowner,1500000,0,0,1,1,1300000,1524500
2023,nonowner,1500000,0,1,0,14,23389526,22459700
2023,nonowner,1500000,0,1,1,37,68170100,59731000
2023,nonowner,1500000,1,1,0,2,3000000,3186100
