fy,kind,category,bin_lo,count,sum_price,units
2016,bin,owner,0,1099,354785258,1
2016,bin,owner,600000,243,165173962,1
2016,bin,owner,800000,78,69173096,1
2016,bin,owner,1000000,45,50077082,1
2016,bin,owner,1250000,25,33417650,1
2016,bin,owner,1500000,11,17361000,1
2016,bin,owner,1750000,8,14579000,1
2016,bin,owner,2000000,7,14590000,1
2016,bin,owner,2250000,3,7100000,1
2016,bin,owner,2500000,2,5300000,1
2016,bin,owner,2750000,2,5700000,1
2016,bin,owner,3500000,3,11072000,1
2016,bin,owner,3750000,1,3750000,1
2016,bin,owner,5500000,1,5700000,1
2016,bin,owner,6000000,1,6200000,1
2016,bin,owner,7500000,1,7800000,1
2016,bin,owner,9000000,1,9000000,1
2016,bin,nonowner,0,1162,358669255,1
2016,bin,nonowner,600000,232,160411058,1
2016,bin,nonowner,800000,133,118744802,1
2016,bin,nonowner,1000000,73,81193950,1
2016,bin,nonowner,1250000,50,68330432,1
2016,bin,nonowner,1500000,30,47606532,1
2016,bin,nonowner,1750000,20,37335828,1
2016,bin,nonowner,2000000,20,42079950,1
2016,bin,nonowner,2250000,11,25746361,1
2016,bin,nonowner,2500000,18,46581428,1
2016,bin,nonowner,2750000,11,31990000,1
2016,bin,nonowner,3000000,12,37029950,1
2016,bin,nonowner,3250000,3,10125000,1
2016,bin,nonowner,3500000,4,14400000,1
2016,bin,nonowner,3750000,6,23185000,1
2016,bin,nonowner,4000000,3,12500000,1
2016,bin,nonowner,4250000,2,8670000,1
2016,bin,nonowner,4500000,6,27574000,1
2016,bin,nonowner,4750000,5,24300000,1
2016,bin,nonowner,5250000,3,16090309,1
2016,bin,nonowner,5500000,2,11200000,1
2016,bin,nonowner,5750000,1,5863000,1
2016,bin,nonowner,6000000,1,6470000,1
2016,bin,nonowner,6500000,1,6900000,1
2016,bin,nonowner,7000000,1,7000000,1
2016,bin,nonowner,8500000,1,8500000,1
2016,bin,nonres,0,217,47132958,1
2016,bin,nonres,600000,29,20102464,1
2016,bin,nonres,800000,13,11755350,1
2016,bin,nonres,1000000,8,9121136,1
2016,bin,nonres,1250000,10,13783568,1
2016,bin,nonres,1500000,5,7849146,1
2016,bin,nonres,1750000,4,7613000,1
