fy,category,price
2026,nonowner,12300000
2024,nonowner,10000000
2024,nonowner,10000000
2025,nonowner,12023337
2025,nonowner,11000000
2026,nonowner,10500000
2024,nonowner,12000000
2024,nonowner,11040260
2023,nonowner,10110913
2024,nonowner,12916119
2024,nonowner,13280156
2024,nonowner,12682808
2025,nonowner,13500000
2024,nonowner,10315797
2023,nonowner,12981273
2023,nonowner,10979404
2023,nonowner,13000000
2025,nonowner,22000000
2023,nonowner,11091756
2023,nonowner,11213315
2023,nonowner,10800000
2024,nonowner,12108026
2024,nonowner,10331797
2024,owner,12365651
2023,nonres,17500000
2024,nonowner,43579000
2026,owner,10000000
2024,nonowner,14300000
2025,nonowner,17250000
2023,nonowner,16500000
2026,nonowner,18500000
2024,nonowner,13700000
2023,nonres,15695300
2024,nonowner,38500000
2024,nonowner,11750000
2023,nonres,11575000
2024,nonowner,10900000
2025,nonowner,25500000
2023,nonowner,32673491
2025,nonowner,12600000
2025,nonowner,12600000
2026,nonowner,12900000
2025,nonowner,12600000
2026,nonowner,12900000
2026,nonowner,12900000
2024,nonowner,18500000
2023,nonowner,28500000
2025,owner,14470000
2024,nonres,11700000
2024,nonres,11700000
2025,nonres,12000000
2026,nonres,22555275
2026,nonres,55440000
2025,nonres,14000000
2024,nonres,14903134
2024,nonowner,15500000
2023,nonres,10500000
2024,nonres,11940000
2024,owner,17000000
2023,nonowner,11040000
2024,nonres,13500000
2026,nonres,17550000
2026,nonres,37888770
2024,nonowner,16000000
2026,owner,11000000
2024,nonowner,11500000
2024,nonres,10200000
2026,nonres,19541725
2026,nonres,32123756
2023,nonres,11100000
2025,owner,20000000
2025,nonres,13250000
2026,nonres,13565445
2026,nonres,10806933
2025,nonres,16622825
2024,nonres,38000000
2025,nonowner,12350000
2023,nonowner,10000000
2025,nonowner,17000000
2024,nonowner,23100000
2024,nonowner,12000000
2025,nonowner,26450000
2023,nonres,17800000
2025,nonowner,16000000
2026,nonowner,18000000
2026,owner,13400000
2025,owner,16300000
2024,nonres,325100000
2025,nonres,10000000
2023,nonowner,20750000
2023,nonowner,10250000
2025,nonowner,10900000
2023,nonowner,10250000
2025,nonowner,10900000
2023,nonowner,10250000
2026,nonres,15500000
2026,nonres,17014974
2023,nonres,37250000
2026,nonres,12014000
2023,owner,10000000
