fy,category,count,sum_price,sum_tax_recorded
2016,owner,1534,793651037,1768075
2016,nonowner,1814,1239175223,4782466
2016,nonres,272,661787163,5550574
2016,unmatched,51,177322390,362208
2017,owner,1521,865422392,2046220
2017,nonowner,2048,1475517433,6289028
2017,nonres,274,398895993,2704322
2017,unmatched,65,230039300,1088094
2018,owner,1687,972190743,2254103
2018,nonowner,2152,1700193245,7199964
2018,nonres,484,259361017,972584
2018,unmatched,61,1376573263,5333355
2019,owner,1642,1004900011,2664013
2019,nonowner,2027,1654729096,7229926
2019,nonres,444,850212527,6415346
2019,unmatched,62,54250131,1178686
2020,owner,1535,997021496,2503554
2020,nonowner,1918,1615190541,7327659
2020,nonres,314,249444106,1245086
2020,unmatched,44,56098752,1133055
2021,owner,1818,1424707375,4319072
2021,nonowner,2560,2794104920,15087642
2021,nonres,484,639881725,3947097
2021,unmatched,68,130758895,3397558
2022,owner,1547,1450643785,4932481
2022,nonowner,2813,3506961325,20400547
2022,nonres,461,975940348,7276155
2022,unmatched,77,115728463,11593277
2023,owner,1030,966956997,3257902
2023,nonowner,1568,1911799259,10941160
2023,nonres,393,436886844,2168041
2023,unmatched,37,55472841,555592
2024,owner,959,912363979,3019481
2024,nonowner,1431,2150461787,13891779
2024,nonres,290,836559784,6698666
2024,unmatched,38,53212773,1974925
2025,owner,881,967700961,3771165
2025,nonowner,1166,1651998922,10312398
2025,nonres,281,388022628,2358624
2025,unmatched,33,50689083,475763
2026,owner,896,879600223,3073278
2026,nonowner,1173,1389710898,7582465
2026,nonres,323,509992469,3348389
2026,unmatched,78,177559647,7848550
