fy,category,owner_occupied_now,condo,value_lo,price_lo,count,sum_price,sum_value
2023,owner,0,0,0,0,2,364950,389600
2023,owner,0,0,300000,0,9,4132700,4217800
2023,owner,0,0,300000,600000,1,675000,351100
2023,owner,0,0,300000,800000,1,825000,397300
2023,owner,0,0,600000,0,3,1300200,2051000
2023,owner,0,0,600000,600000,4,2620000,2911300
2023,owner,0,0,600000,800000,2,1847500,1491500
2023,owner,0,0,600000,1000000,1,1070000,799100
2023,owner,0,0,800000,600000,3,2191271,2644300
2023,owner,0,0,800000,800000,15,12914500,13329500
2023,owner,0,0,800000,1000000,2,2000000,1717000
2023,owner,0,0,800000,1250000,1,1310000,942500
2023,owner,0,0,1000000,0,1,521180,1012100
2023,owner,0,0,1000000,600000,4,3105450,4326300
2023,owner,0,0,1000000,800000,13,12108155,14692300
2023,owner,0,0,1000000,1000000,9,10189000,10541800
2023,owner,0,0,1000000,1250000,2,2625000,2221200
2023,owner,0,0,1000000,1500000,1,1725000,1099700
2023,owner,0,0,1000000,1750000,1,1900000,1183800
2023,owner,0,0,1250000,600000,1,791325,1273200
2023,owner,0,0,1250000,800000,5,4553486,6577700
2023,owner,0,0,1250000,1000000,4,4539550,5242100
2023,owner,0,0,1250000,1250000,6,7943000,8409800
2023,owner,0,0,1250000,1500000,1,1500000,1470600
2023,owner,0,0,1250000,1750000,1,1900000,1364700
2023,owner,0,0,1500000,800000,1,995000,1685800
2023,owner,0,0,1500000,1250000,1,1450000,1669300
2023,owner,0,0,1500000,1500000,4,6360000,6668900
2023,owner,0,0,1500000,1750000,1,1800000,1528900
2023,owner,0,0,1500000,2250000,1,2300000,1725100
2023,owner,0,0,1750000,1250000,2,2862500,3593200
2023,owner,0,0,1750000,1500000,1,1575000,1816300
2023,owner,0,0,1750000,1750000,3,5645000,5546300
2023,owner,0,0,1750000,2500000,1,2720000,1869400
2023,owner,0,0,2000000,1250000,1,1350000,2151400
2023,owner,0,0,2000000,1500000,1,1729000,2045500
2023,owner,0,0,2000000,1750000,1,1950000,2110000
2023,owner,0,0,2500000,2250000,1,2450000,2639700
2023,owner,0,0,2500000,3000000,1,3183000,2684100
2023,owner,0,0,2750000,2250000,2,4700000,5751100
2023,owner,0,0,3000000,2750000,1,2850000,3130900
2023,owner,0,0,3250000,2750000,1,2850000,3333600
2023,owner,0,0,3250000,7000000,1,7000000,3349000
2023,owner,0,0,3500000,4250000,1,4330000,3644300
2023,owner,0,0,3750000,3750000,1,3900000,3973100
2023,owner,0,0,4500000,4250000,1,4262000,4537400
2023,owner,0,0,5000000,4500000,1,4500000,5094300
2023,owner,0,0,5500000,6000000,1,6350000,5625200
2023,owner,0,0,6000000,8500000,1,8900000,6152600
2023,owner,0,0,10000000,9500000,1,9750000,11940400
