type,year,band_lo,band_hi,sales
sf,2023,0,600000,95
sf,2023,600000,700000,123
sf,2023,700000,800000,227
sf,2023,800000,900000,388
sf,2023,900000,1000000,332
sf,2023,1000000,2000000,1127
sf,2023,2000000,3000000,160
sf,2023,3000000,4000000,47
sf,2023,4000000,5000000,16
sf,2023,5000000,,45
sf,2024,0,600000,102
sf,2024,600000,700000,103
sf,2024,700000,800000,229
sf,2024,800000,900000,364
sf,2024,900000,1000000,332
sf,2024,1000000,2000000,1358
sf,2024,2000000,3000000,192
sf,2024,3000000,4000000,57
sf,2024,4000000,5000000,23
sf,2024,5000000,,33
condo,2023,0,600000,2907
condo,2023,600000,700000,537
condo,2023,700000,800000,384
condo,2023,800000,900000,186
condo,2023,900000,1000000,146
condo,2023,1000000,,413
condo,2024,0,600000,2764
condo,2024,600000,700000,492
condo,2024,700000,800000,389
condo,2024,800000,900000,236
condo,2024,900000,1000000,140
condo,2024,1000000,,438
