rb,owner_occupied,condo,homes,resales,developer_first_sales,bulk_buyer,lessee_changes,window_start,window_end,years
0,0,0,149,17,0,0,0,2023-12-05,2026-09-25,2.806
0,0,1,11424,982,441,592,18,2023-12-05,2026-09-25,2.806
0,1,0,153,5,0,0,0,2023-12-05,2026-09-25,2.806
0,1,1,2509,282,76,0,3,2023-12-05,2026-09-25,2.806
300000,0,0,1494,149,0,0,2,2023-12-05,2026-09-25,2.806
300000,0,1,36790,3985,727,182,64,2023-12-05,2026-09-25,2.806
300000,1,0,1510,97,0,0,1,2023-12-05,2026-09-25,2.806
300000,1,1,26197,2515,166,0,7,2023-12-05,2026-09-25,2.806
600000,0,0,3791,406,0,1,6,2023-12-05,2026-09-25,2.806
600000,0,1,11738,1506,447,33,7,2023-12-05,2026-09-25,2.806
600000,1,0,6181,308,0,0,1,2023-12-05,2026-09-25,2.806
600000,1,1,11922,1100,242,0,5,2023-12-05,2026-09-25,2.806
800000,0,0,10245,921,10,1,5,2023-12-05,2026-09-25,2.806
800000,0,1,6298,823,438,18,3,2023-12-05,2026-09-25,2.806
800000,1,0,21308,909,23,0,3,2023-12-05,2026-09-25,2.806
800000,1,1,6564,556,83,0,1,2023-12-05,2026-09-25,2.806
1000000,0,0,10750,1073,53,0,6,2023-12-05,2026-09-25,2.806
1000000,0,1,3601,425,259,3,7,2023-12-05,2026-09-25,2.806
1000000,1,0,27564,982,101,0,11,2023-12-05,2026-09-25,2.806
1000000,1,1,3642,258,44,0,0,2023-12-05,2026-09-25,2.806
1250000,0,0,5836,592,17,0,4,2023-12-05,2026-09-25,2.806
1250000,0,1,1740,237,109,3,4,2023-12-05,2026-09-25,2.806
1250000,1,0,16437,606,27,0,13,2023-12-05,2026-09-25,2.806
1250000,1,1,1829,150,23,0,3,2023-12-05,2026-09-25,2.806
1500000,0,0,3046,330,2,1,4,2023-12-05,2026-09-25,2.806
1500000,0,1,954,158,47,0,5,2023-12-05,2026-09-25,2.806
1500000,1,0,9354,363,6,0,8,2023-12-05,2026-09-25,2.806
1500000,1,1,824,62,2,0,1,2023-12-05,2026-09-25,2.806
1750000,0,0,1727,220,0,0,4,2023-12-05,2026-09-25,2.806
1750000,0,1,581,87,51,3,0,2023-12-05,2026-09-25,2.806
1750000,1,0,5199,195,0,0,0,2023-12-05,2026-09-25,2.806
1750000,1,1,481,49,13,0,0,2023-12-05,2026-09-25,2.806
2000000,0,0,1648,196,0,0,5,2023-12-05,2026-09-25,2.806
2000000,0,1,526,52,79,1,0,2023-12-05,2026-09-25,2.806
2000000,1,0,4434,209,0,0,9,2023-12-05,2026-09-25,2.806
2000000,1,1,349,34,27,0,2,2023-12-05,2026-09-25,2.806
2500000,0,0,804,108,0,0,0,2023-12-05,2026-09-25,2.806
2500000,0,1,299,51,26,1,0,2023-12-05,2026-09-25,2.806
2500000,1,0,1866,71,0,0,1,2023-12-05,2026-09-25,2.806
2500000,1,1,189,20,6,0,1,2023-12-05,2026-09-25,2.806
3000000,0,0,493,74,0,0,0,2023-12-05,2026-09-25,2.806
3000000,0,1,148,19,0,0,0,2023-12-05,2026-09-25,2.806
3000000,1,0,984,44,0,0,5,2023-12-05,2026-09-25,2.806
3000000,1,1,76,8,0,0,0,2023-12-05,2026-09-25,2.806
3500000,0,0,310,44,0,0,1,2023-12-05,2026-09-25,2.806
3500000,0,1,93,11,0,0,0,2023-12-05,2026-09-25,2.806
3500000,1,0,495,30,0,0,1,2023-12-05,2026-09-25,2.806
3500000,1,1,42,4,0,0,0,2023-12-05,2026-09-25,2.806
4000000,0,0,287,48,0,0,0,2023-12-05,2026-09-25,2.806
4000000,0,1,196,18,65,0,0,2023-12-05,2026-09-25,2.806
4000000,1,0,351,23,0,0,1,2023-12-05,2026-09-25,2.806
4000000,1,1,60,3,5,0,0,2023-12-05,2026-09-25,2.806
5000000,0,0,173,24,0,0,0,2023-12-05,2026-09-25,2.806
5000000,0,1,71,16,0,0,0,2023-12-05,2026-09-25,2.806
5000000,1,0,156,17,0,0,3,2023-12-05,2026-09-25,2.806
5000000,1,1,29,2,0,0,0,2023-12-05,2026-09-25,2.806
6000000,0,0,176,20,0,0,2,2023-12-05,2026-09-25,2.806
6000000,0,1,92,9,0,0,0,2023-12-05,2026-09-25,2.806
6000000,1,0,105,13,0,0,0,2023-12-05,2026-09-25,2.806
6000000,1,1,36,5,0,0,0,2023-12-05,2026-09-25,2.806
8000000,0,0,72,8,0,0,0,2023-12-05,2026-09-25,2.806
8000000,0,1,31,11,0,0,0,2023-12-05,2026-09-25,2.806
8000000,1,0,23,3,0,0,0,2023-12-05,2026-09-25,2.806
8000000,1,1,11,2,0,0,1,2023-12-05,2026-09-25,2.806
10000000,0,0,55,5,0,0,1,2023-12-05,2026-09-25,2.806
10000000,0,1,32,8,0,0,0,2023-12-05,2026-09-25,2.806
10000000,1,0,10,0,0,0,0,2023-12-05,2026-09-25,2.806
10000000,1,1,8,1,0,0,0,2023-12-05,2026-09-25,2.806
15000000,0,0,25,3,0,0,0,2023-12-05,2026-09-25,2.806
15000000,0,1,1,0,0,0,0,2023-12-05,2026-09-25,2.806
15000000,1,0,2,0,0,0,0,2023-12-05,2026-09-25,2.806
15000000,1,1,1,0,0,0,0,2023-12-05,2026-09-25,2.806
20000000,0,0,3,1,0,0,0,2023-12-05,2026-09-25,2.806
20000000,0,1,5,1,0,0,1,2023-12-05,2026-09-25,2.806
20000000,1,1,2,0,0,0,0,2023-12-05,2026-09-25,2.806
