county,group,value_lo,owner_occupied,improved,condo,count,sum_value
Honolulu,ag_dwelling,0,0,1,0,40,7450100
Honolulu,ag_dwelling,0,0,1,1,19,3992400
Honolulu,ag_dwelling,300000,0,1,0,134,64400800
Honolulu,ag_dwelling,300000,0,1,1,11,5306500
Honolulu,ag_dwelling,600000,0,1,0,109,76883300
Honolulu,ag_dwelling,600000,0,1,1,9,6124500
Honolulu,ag_dwelling,800000,0,1,0,70,62391800
Honolulu,ag_dwelling,800000,0,1,1,11,9842500
Honolulu,ag_dwelling,1000000,0,1,0,54,60282100
Honolulu,ag_dwelling,1000000,0,1,1,8,8807800
Honolulu,ag_dwelling,1250000,0,1,0,20,27347500
Honolulu,ag_dwelling,1250000,0,1,1,4,5571700
Honolulu,ag_dwelling,1500000,0,1,0,18,29256200
Honolulu,ag_dwelling,1500000,0,1,1,3,4754200
Honolulu,ag_dwelling,1750000,0,1,0,8,14967500
Honolulu,ag_dwelling,1750000,0,1,1,6,11537200
Honolulu,ag_dwelling,2000000,0,1,0,16,34031800
Honolulu,ag_dwelling,2000000,0,1,1,2,4432000
Honolulu,ag_dwelling,2250000,0,1,0,7,16388100
Honolulu,ag_dwelling,2250000,0,1,1,1,2389700
Honolulu,ag_dwelling,2500000,0,1,0,3,8014800
Honolulu,ag_dwelling,2750000,0,1,0,3,8437300
Honolulu,ag_dwelling,2750000,0,1,1,2,5689100
Honolulu,ag_dwelling,3000000,0,1,0,2,6272600
Honolulu,ag_dwelling,3000000,0,1,1,1,3240300
Honolulu,ag_dwelling,3250000,0,1,0,5,16535600
Honolulu,ag_dwelling,3500000,0,1,0,3,10819900
Honolulu,ag_dwelling,3750000,0,1,0,2,7640200
Honolulu,ag_dwelling,4000000,0,1,1,1,4102800
Honolulu,ag_dwelling,4750000,0,1,0,1,4773200
Honolulu,ag_dwelling,5250000,0,1,0,1,5328700
Honolulu,ag_dwelling,7000000,0,1,1,1,7030600
Honolulu,ag_dwelling,10000000,0,1,0,1,11565500
Honolulu,ag_dwelling,20000000,0,1,0,1,29887400
Honolulu,large_other,20000000,0,0,0,5,117529500
Honolulu,large_other,20000000,0,1,0,14,329033000
Honolulu,large_other,30000000,0,0,0,5,270177100
Honolulu,large_other,30000000,0,1,0,20,1097928800
Honolulu,multifamily,0,1,1,0,2,380600
Honolulu,multifamily,300000,0,1,0,1,374800
Honolulu,multifamily,300000,1,1,0,1,340600
Honolulu,multifamily,600000,0,0,0,1,622200
Honolulu,multifamily,600000,0,1,0,4,2910300
Honolulu,multifamily,800000,0,1,0,7,6321000
Honolulu,multifamily,800000,1,1,0,2,1732400
Honolulu,multifamily,1000000,0,1,0,5,5747900
Honolulu,multifamily,1250000,0,1,0,9,12151500
Honolulu,multifamily,1250000,1,1,0,1,1365100
Honolulu,multifamily,1500000,0,1,0,9,14806800
Honolulu,multifamily,1750000,0,1,0,16,29949700
Honolulu,multifamily,1750000,1,1,0,2,3887500
Honolulu,multifamily,2000000,0,1,0,21,44775200
Honolulu,multifamily,2000000,1,1,0,5,10510900
Honolulu,multifamily,2250000,0,1,0,13,30979100
Honolulu,multifamily,2250000,1,1,0,1,2251000
Honolulu,multifamily,2500000,0,1,0,15,39518500
Honolulu,multifamily,2500000,1,1,0,3,7761100
Honolulu,multifamily,2750000,0,1,0,8,22766600
Honolulu,multifamily,2750000,1,1,0,1,2882800
Honolulu,multifamily,3000000,0,1,0,8,25036500
Honolulu,multifamily,3250000,0,1,0,7,23238600
Honolulu,multifamily,3500000,0,1,0,4,14761100
Honolulu,multifamily,3750000,0,1,0,3,11462900
Honolulu,multifamily,3750000,1,1,0,1,3832800
Honolulu,multifamily,4000000,0,0,0,1,4178700
Honolulu,multifamily,4000000,0,1,0,5,20506000
Honolulu,multifamily,4000000,1,1,0,1,4128400
Honolulu,multifamily,4250000,0,1,0,3,13019100
Honolulu,multifamily,4250000,1,1,0,1,4314300
Honolulu,multifamily,4500000,0,1,0,6,28004400
Honolulu,multifamily,4750000,0,1,0,4,19182300
Honolulu,multifamily,4750000,1,1,0,1,4976100
Honolulu,multifamily,5000000,0,1,0,2,10076100
Honolulu,multifamily,5250000,0,1,0,2,10989500
Honolulu,multifamily,5500000,0,1,0,1,5710100
Honolulu,multifamily,6000000,0,1,0,2,12507800
Honolulu,multifamily,6500000,0,1,0,4,26856000
Honolulu,multifamily,6500000,1,1,0,1,6712500
Honolulu,multifamily,7000000,0,1,0,3,21787800
Honolulu,multifamily,8000000,0,1,0,1,8019600
Honolulu,multifamily,9000000,0,1,0,1,9224300
Honolulu,multifamily,12500000,0,1,0,3,43632600
Honolulu,multifamily,20000000,0,1,0,2,48492500
Honolulu,multifamily,30000000,0,1,0,15,2241337800
Honolulu,residential,0,0,0,0,1316,37002200
Honolulu,residential,0,0,0,1,3823,223760700
Honolulu,residential,0,0,1,0,149,32191600
Honolulu,residential,0,0,1,1,12003,2343797800
Honolulu,residential,0,1,1,0,153,36824700
Honolulu,residential,0,1,1,1,2509,645693300
Honolulu,residential,300000,0,0,0,295,137960000
Honolulu,residential,300000,0,0,1,235,105583300
Honolulu,residential,300000,0,1,0,1494,725205000
Honolulu,residential,300000,0,1,1,36961,16124429400
Honolulu,residential,300000,1,1,0,1512,766494800
Honolulu,residential,300000,1,1,1,26234,11903609100
Honolulu,residential,600000,0,0,0,349,244821000
Honolulu,residential,600000,0,0,1,156,113617800
Honolulu,residential,600000,0,1,0,3794,2763946300
Honolulu,residential,600000,0,1,1,11937,8259419900
Honolulu,residential,600000,1,0,0,1,715700
Honolulu,residential,600000,1,1,0,6181,4514036200
Honolulu,residential,600000,1,1,1,12042,8298342300
Honolulu,residential,800000,0,0,0,244,217581500
Honolulu,residential,800000,0,0,1,101,88729300
Honolulu,residential,800000,0,1,0,10248,9286937600
Honolulu,residential,800000,0,1,1,6363,5647801500
Honolulu,residential,800000,1,1,0,21310,19387325200
Honolulu,residential,800000,1,1,1,6626,5901431500
Honolulu,residential,1000000,0,0,0,240,269371700
Honolulu,residential,1000000,0,0,1,32,34640100
Honolulu,residential,1000000,0,1,0,10759,12021154000
Honolulu,residential,1000000,0,1,1,3709,4121772000
Honolulu,residential,1000000,1,1,0,27572,30873475200
Honolulu,residential,1000000,1,1,1,3728,4135768500
Honolulu,residential,1250000,0,0,0,154,210032600
Honolulu,residential,1250000,0,0,1,8,10877100
Honolulu,residential,1250000,0,1,0,5840,7945522600
Honolulu,residential,1250000,0,1,1,1762,2405777300
Honolulu,residential,1250000,1,1,0,16438,22400836000
Honolulu,residential,1250000,1,1,1,1854,2529873900
Honolulu,residential,1500000,0,0,0,96,155167900
Honolulu,residential,1500000,0,0,1,9,14640700
Honolulu,residential,1500000,0,1,0,3048,4911356800
Honolulu,residential,1500000,0,1,1,969,1562996400
Honolulu,residential,1500000,1,0,0,1,1600100
Honolulu,residential,1500000,1,1,0,9355,15077399500
Honolulu,residential,1500000,1,1,1,825,1328079300
Honolulu,residential,1750000,0,0,0,56,103675000
Honolulu,residential,1750000,0,0,1,5,9289700
Honolulu,residential,1750000,0,1,0,1727,3215093200
Honolulu,residential,1750000,0,1,1,589,1094440400
Honolulu,residential,1750000,1,1,0,5202,9683144900
Honolulu,residential,1750000,1,1,1,485,903582500
Honolulu,residential,2000000,0,0,0,42,89351400
Honolulu,residential,2000000,0,0,1,2,4133900
Honolulu,residential,2000000,0,1,0,990,2090589100
Honolulu,residential,2000000,0,1,1,275,578830300
Honolulu,residential,2000000,1,1,0,2758,5826978800
