county,group,value_lo,owner_occupied,improved,condo,count,sum_value
Hawaii,ag_dwelling,0,0,1,0,2077,449296700
Hawaii,ag_dwelling,0,1,1,0,5690,1266274400
Hawaii,ag_dwelling,300000,0,1,0,2881,1247243700
Hawaii,ag_dwelling,300000,1,1,0,6809,2864549000
Hawaii,ag_dwelling,600000,0,1,0,752,519875300
Hawaii,ag_dwelling,600000,1,1,0,1737,1205219400
Hawaii,ag_dwelling,800000,0,1,0,448,399800700
Hawaii,ag_dwelling,800000,1,1,0,1078,959786800
Hawaii,ag_dwelling,1000000,0,1,0,344,384356000
Hawaii,ag_dwelling,1000000,1,1,0,839,935329000
Hawaii,ag_dwelling,1250000,0,1,0,252,345625800
Hawaii,ag_dwelling,1250000,1,1,0,472,641691300
Hawaii,ag_dwelling,1500000,0,1,0,161,261811300
Hawaii,ag_dwelling,1500000,1,1,0,246,397864600
Hawaii,ag_dwelling,1750000,0,1,0,106,197226400
Hawaii,ag_dwelling,1750000,1,1,0,170,315709000
Hawaii,ag_dwelling,2000000,0,1,0,79,167335900
Hawaii,ag_dwelling,2000000,1,1,0,118,250276700
Hawaii,ag_dwelling,2250000,0,1,0,45,106580300
Hawaii,ag_dwelling,2250000,1,1,0,77,181208300
Hawaii,ag_dwelling,2500000,0,1,0,40,105092500
Hawaii,ag_dwelling,2500000,1,1,0,35,92231400
Hawaii,ag_dwelling,2750000,0,1,0,28,80114900
Hawaii,ag_dwelling,2750000,1,1,0,22,63186400
Hawaii,ag_dwelling,3000000,0,1,0,22,68551700
Hawaii,ag_dwelling,3000000,1,1,0,17,53320000
Hawaii,ag_dwelling,3250000,0,1,0,18,60645200
Hawaii,ag_dwelling,3250000,1,1,0,11,37464600
Hawaii,ag_dwelling,3500000,0,1,0,7,25137000
Hawaii,ag_dwelling,3500000,1,1,0,7,25196600
Hawaii,ag_dwelling,3750000,0,1,0,10,38485500
Hawaii,ag_dwelling,3750000,1,1,0,6,23309300
Hawaii,ag_dwelling,4000000,0,1,0,9,36927500
Hawaii,ag_dwelling,4000000,1,1,0,2,8260300
Hawaii,ag_dwelling,4250000,0,1,0,5,21824600
Hawaii,ag_dwelling,4250000,1,1,0,4,17304600
Hawaii,ag_dwelling,4500000,0,1,0,8,36679000
Hawaii,ag_dwelling,4500000,1,1,0,4,18575200
Hawaii,ag_dwelling,4750000,0,1,0,10,48924100
Hawaii,ag_dwelling,4750000,1,1,0,2,9734100
Hawaii,ag_dwelling,5000000,0,1,0,4,20418000
Hawaii,ag_dwelling,5000000,1,1,0,3,15321100
Hawaii,ag_dwelling,5250000,1,1,0,1,5470600
Hawaii,ag_dwelling,5500000,0,1,0,4,22391500
Hawaii,ag_dwelling,5750000,1,1,0,1,5811800
Hawaii,ag_dwelling,6000000,0,1,0,3,18526800
Hawaii,ag_dwelling,6500000,0,1,0,6,40925600
Hawaii,ag_dwelling,6500000,1,1,0,1,6685700
Hawaii,ag_dwelling,7000000,0,1,0,1,7476400
Hawaii,ag_dwelling,7500000,0,1,0,2,15587300
Hawaii,ag_dwelling,8000000,0,1,0,2,16440300
Hawaii,ag_dwelling,8500000,0,1,0,2,17785400
Hawaii,ag_dwelling,8500000,1,1,0,1,8964400
Hawaii,ag_dwelling,9000000,0,1,0,1,9370000
Hawaii,ag_dwelling,10000000,0,1,0,1,10519000
Hawaii,condo_unit,0,0,1,1,891,148461776
Hawaii,condo_unit,0,1,1,1,121,26647324
Hawaii,condo_unit,300000,0,1,1,4253,1894660215
Hawaii,condo_unit,300000,1,1,1,1197,514631985
Hawaii,condo_unit,600000,0,1,1,710,485593645
Hawaii,condo_unit,600000,1,1,1,458,325886355
Hawaii,condo_unit,800000,0,1,1,867,758483251
Hawaii,condo_unit,800000,1,1,1,130,110551549
Hawaii,condo_unit,1000000,0,1,1,537,576783641
Hawaii,condo_unit,1000000,1,1,1,66,70615859
Hawaii,condo_unit,1250000,0,1,1,315,417499054
Hawaii,condo_unit,1250000,1,1,1,111,148013246
Hawaii,condo_unit,1500000,0,1,1,213,336171918
Hawaii,condo_unit,1500000,1,1,1,19,30331982
Hawaii,condo_unit,2000000,0,1,1,426,933207962
Hawaii,condo_unit,2000000,1,1,1,80,176148038
Hawaii,condo_unit,2250000,0,1,1,114,261574165
Hawaii,condo_unit,2250000,1,1,1,23,52773735
Hawaii,condo_unit,3000000,0,1,1,82,255027316
Hawaii,condo_unit,3000000,1,1,1,20,62201784
Hawaii,condo_unit,4000000,0,1,1,4,16849400
Hawaii,condo_unit,4500000,0,1,1,51,238380625
Hawaii,condo_unit,4500000,1,1,1,1,4597475
Hawaii,condo_unit,4750000,0,1,1,79,387249986
Hawaii,condo_unit,4750000,1,1,1,5,24700114
Hawaii,condo_unit,5000000,0,1,1,20,101911083
Hawaii,condo_unit,5000000,1,1,1,4,20382217
Hawaii,condo_unit,5250000,0,1,1,9,48296700
Hawaii,condo_unit,6000000,0,1,1,62,386956900
Hawaii,condo_unit,6500000,0,1,1,67,463956642
Hawaii,condo_unit,6500000,1,1,1,2,13816658
Hawaii,condo_unit,8000000,0,1,1,28,232090300
Hawaii,condo_unit,8000000,1,1,1,1,8379600
Hawaii,condo_unit,9000000,0,1,1,3,28320500
Hawaii,condo_unit,10000000,0,1,1,55,611422000
Hawaii,condo_unit,10000000,1,1,1,4,44824600
Hawaii,condo_unit,12500000,0,1,1,4,51945000
Hawaii,large_other,20000000,0,1,0,49,1166960700
Hawaii,large_other,20000000,1,1,0,5,112919100
Hawaii,large_other,30000000,0,1,0,22,870260300
Hawaii,large_other,30000000,1,1,0,2,152671700
Hawaii,multifamily,300000,0,1,0,1,391900
Hawaii,multifamily,600000,0,1,0,1,755500
Hawaii,multifamily,800000,0,1,0,3,2644000
Hawaii,multifamily,1000000,0,1,0,3,3246800
Hawaii,multifamily,1000000,1,1,0,1,1140500
Hawaii,multifamily,1250000,0,1,0,6,8122800
Hawaii,multifamily,1250000,1,1,0,1,1317000
Hawaii,multifamily,1500000,0,1,0,2,3215700
Hawaii,multifamily,1750000,0,1,0,2,3520400
Hawaii,multifamily,2000000,0,1,0,1,2142800
Hawaii,multifamily,2000000,1,1,0,2,4211700
Hawaii,multifamily,2250000,1,1,0,2,4664800
Hawaii,multifamily,2500000,1,1,0,1,2646100
Hawaii,multifamily,2750000,1,1,0,1,2905500
Hawaii,multifamily,3000000,1,1,0,2,6254200
Hawaii,multifamily,3250000,0,1,0,1,3318000
Hawaii,multifamily,4500000,1,1,0,1,4728100
Hawaii,multifamily,4750000,1,1,0,1,4829100
Hawaii,multifamily,6000000,0,1,0,1,6421400
Hawaii,multifamily,6500000,1,1,0,1,6539300
Hawaii,multifamily,8000000,1,1,0,2,16257600
Hawaii,multifamily,15000000,0,1,0,2,33100900
Hawaii,multifamily,20000000,0,1,0,1,28901200
Hawaii,multifamily,30000000,0,1,0,2,112650800
Hawaii,multifamily,30000000,1,1,0,1,157710300
Hawaii,residential,0,0,0,0,20721,889055300
Hawaii,residential,0,0,1,0,4091,747147000
Hawaii,residential,0,1,1,0,6477,1452383000
Hawaii,residential,300000,0,0,0,730,292738700
Hawaii,residential,300000,0,1,0,5240,2259269000
Hawaii,residential,300000,1,1,0,9878,4214484500
Hawaii,residential,600000,0,0,0,90,60879500
Hawaii,residential,600000,0,1,0,1559,1081247800
Hawaii,residential,600000,1,1,0,2791,1922907900
Hawaii,residential,800000,0,0,0,37,33856100
Hawaii,residential,800000,0,1,0,1052,938271900
Hawaii,residential,800000,1,1,0,1333,1180133400
Hawaii,residential,1000000,0,0,0,56,64691700
Hawaii,residential,1000000,0,1,0,642,711132800
Hawaii,residential,1000000,1,1,0,689,764765600
Hawaii,residential,1250000,0,0,0,54,73451800
Hawaii,residential,1250000,0,1,0,282,386185800
Hawaii,residential,1250000,1,1,0,253,345221900
Hawaii,residential,1500000,0,0,0,26,41971600
Hawaii,residential,1500000,0,1,0,161,259370500
Hawaii,residential,1500000,1,1,0,129,207958800
Hawaii,residential,1750000,0,0,0,22,41569100
Hawaii,residential,1750000,0,1,0,110,205183200
Hawaii,residential,1750000,1,1,0,68,126773400
Hawaii,residential,2000000,0,0,0,22,47567300
