house_district,weighted_filers,filers_receiving_eitc,total_eitc_dollars,filers_receiving_ctc,total_ctc_dollars,refundable_ctc_dollars,hi_eitc_dollars
1,18616.034914704884,2303.874917599285,4467744.180040185,3253.0056234178787,11119480.605727471,7801111.786231486,620653.258391277
2,17716.95787038558,2529.687891743115,6312298.497212778,3374.6719591575256,11055718.018716019,7597914.836041018,734250.4607652804
3,17372.902632704558,3215.352655402006,7165925.375372592,3987.9163504620415,14363218.155521821,9758430.280134229,812746.2313375395
5,18702.49149309232,2609.1415157182437,4932546.72276251,3976.782165757365,12548437.302080128,7863082.303310233,717599.5507459474
6,17642.858004640955,2377.2580039614613,4717474.386159251,2642.1189005477563,11691310.547484051,8163355.32864652,607385.6970850242
7,16431.632056826584,2720.9820651950754,4253010.982883739,3271.3679341462434,14663650.658180753,7702816.135289831,598072.9535639375
9,21810.271333399767,3521.9413558278034,6861393.88123444,4200.764795230838,14751265.216643514,10657164.878519818,1002238.1610659201
11,19586.17059240175,2627.2905801875672,5895816.193050778,3501.365405893539,11004496.132167965,7545384.322195356,546049.9204976084
12,20652.358491632393,2258.91850784724,4090776.6000824366,2928.445016563958,10742170.410103627,7622212.185755263,543656.3098164377
13,21356.79185462663,2712.1119082040545,5835218.864702447,4392.157024811722,12468966.790920306,8471482.648938507,664755.200311501
14,21015.01901787403,2930.699039338854,4828800.649485994,3993.5370812303563,12837759.589195639,9015367.716874871,717922.6982971772
16,21796.0067952304,3295.076788845549,6429058.01018717,4019.5873026757736,13332562.742349245,9220088.681744277,1033435.0328129253
18,11891.66917300747,1093.0991770677385,2384508.213161303,1953.8010748159259,6268169.708640849,4219609.27905418,325040.2616734616
19,20902.115176701463,2162.565200412191,4077712.7972206376,5043.2428285546375,17882507.17314352,12392648.993816314,713932.8290291699
20,48237.23443998543,5363.764498309763,11878890.377755584,10599.46338708138,39941096.073547274,26707197.852363978,1523213.6754584718
21,10379.387651955649,1566.447666263148,3760567.345035428,2932.474944581054,9599437.605974978,6797826.16322341,459974.4154167597
22,19771.914436059087,2162.6844728160772,4162847.9201846384,3845.6292420367963,14273298.934818354,9171706.267734211,591076.3384973002
23,12215.771990177462,1393.441995379755,3014318.7926193057,2111.8949363937095,7181589.011614701,4956975.128678992,364914.2010381331
24,34682.59818248436,3746.708265945168,6324828.136661174,4766.160697699566,15416091.666298497,10246838.058056518,864554.400126033
25,46330.72273381382,4403.532785195411,11332959.288932946,9931.6951506218,35381980.535900995,24194478.826909833,1369259.6251824382
26,11790.42573841127,1298.2157584002832,2370496.7113996674,2272.6417504437186,8101204.022540564,5920678.01776373,415713.66848249605
27,20274.250278609812,1707.530294495643,3162542.2035094313,3544.8034330307,10233570.51369148,6784296.088017469,466494.3549522943
28,21578.039864532177,2444.059871248429,5261096.099123668,3159.357385808915,10200884.636570679,6584275.217731423,669868.6366527234
30,37779.489346319766,4379.879374379251,7929878.831346888,6395.690134852831,23256091.795800306,16193962.03098893,1091602.1590862346
31,16569.691166369976,2596.691161243977,5365986.360906709,3290.5274580123155,12056490.147110336,7874115.536244625,850419.3379134204
32,32604.046245218342,2985.296317101548,5475080.336222915,6787.735323850033,24706087.328620885,17532137.45439787,810077.5911741378
35,18129.89765131074,2133.1776921709206,2764061.429252447,2812.239370609003,9386977.927093554,6493558.000955287,373674.05697261635
36,9145.201036218044,637.8210353883476,1044296.2827014931,1165.1721278500527,3693637.7982989037,2741709.5984380753,190519.15570481832
39,11953.743637771602,836.1636798691713,1683010.62599118,1614.9706243301302,4209058.4521842515,2840333.872321896,173341.36584414792
41,8519.979652784505,463.3496446830415,539809.0766061958,1145.3312500841066,3735811.6437465297,2634184.271059897,50677.61305960515
43,13515.663436842031,1535.113461506432,2730030.4734881455,1839.4366603905225,5395923.470183983,3844419.200944569,341194.072272451
46,56252.27970030442,5002.189743663222,8746460.484492458,8651.296912768767,27818934.841428466,19259566.895130977,1272851.9349752122
48,13586.89558532703,1603.9356121109745,3568816.1288469126,3161.621613516324,12166216.323974121,8197786.024469048,454046.4245596979
50,21949.061791299995,1910.75180429142,4816276.235852975,4465.704206020066,15644196.947076939,11372618.642838584,596919.5467770281
51,8886.505157029209,625.8651568050952,684670.2360860668,1372.217193380949,5165309.18758406,3805059.7773754857,101264.4159084351
