senate_district,weighted_filers,filers_receiving_eitc,total_eitc_dollars,filers_receiving_ctc,total_ctc_dollars,refundable_ctc_dollars,hi_eitc_dollars
1,35717.84589510319,5192.135921648718,10067244.16622835,6980.589330795902,23666249.354604572,16555286.836635558,1259812.467307747
3,35005.46695274061,4914.996948778091,9340733.101632986,6500.309079536153,23508814.810935482,15337931.592445336,1383556.2892331786
4,35759.564124511075,5649.164179192378,12441022.876569722,7024.964523156756,28266751.122170188,16993492.240572423,1447339.3953480804
6,43333.27109554857,5615.171123479311,10675147.64695512,8212.78417775351,25784234.400852144,17922119.15505,1384066.533372783
7,40417.12134382089,6295.46138504107,12878054.274431694,7245.336321577022,25378278.95251935,17723555.36613317,1604739.8991763028
8,42466.225645795515,5435.405671730687,10387862.277356451,7577.7361270756555,23974707.528008804,16886025.912844926,1519250.890252484
9,20117.8352216813,2088.685249480907,4418210.032035503,2193.904733949669,8461332.718067242,5672375.803250708,580808.7467920575
10,47010.11682703552,4558.596873427008,9519933.133957418,9180.861139049994,30711894.289933477,21327895.3949809,1308050.084636543
11,67604.19086616294,7464.8609397317705,15036195.665139582,14588.910578403777,54900959.96438977,36742628.71143909,1924203.4447506294
13,42819.05049073496,5369.620511410616,10660943.397581555,6607.734046242418,20427384.3523496,13706198.113938635,1499707.1444177146
14,17586.284495346757,1225.3845114042465,1997115.390442859,2366.54516690963,7070265.141783005,5191143.012122663,298518.9072915717
15,53519.95976056127,6574.319823518084,11834425.910684302,9749.348192148978,33313203.326149695,22358490.43210029,1833152.7078953416
16,48845.08561321096,6299.41568084555,14929005.080255978,11745.226482113361,41593179.82330948,29548611.929893203,2066552.3917395035
19,43892.77055454268,4289.080620050563,7241498.815820601,6351.157944266584,19175407.37671575,13218611.858322661,937087.1501598894
21,26101.65087137075,2055.350937758406,3595521.138594779,2614.3785544371576,8250386.318753593,5632156.042230517,467944.3414908695
23,66558.68460207354,5703.704661003469,11188554.767650576,12472.818833967001,41605987.42854826,27844745.727000214,1547842.558604862
24,39542.662612161424,2642.162638745096,3773886.2291269866,8105.886297603745,28396655.077282812,20134418.6241699,513523.42501621926
25,33348.29215765154,3781.1022213712918,8883854.826108035,6886.335737640988,27807909.928561557,19388705.54906652,1093239.177961884
