house_district,weighted_filers,filers_receiving_eitc,total_eitc_dollars,filers_receiving_ctc,total_ctc_dollars,refundable_ctc_dollars,hi_eitc_dollars
1,18616.034914704884,2303.874917599285,4884736.443340432,3253.0056234178787,11119480.605727471,5320601.342735415,620653.258391277
2,17716.95787038558,2529.687891743115,6905794.731387077,3374.6719591575256,11055718.018716019,5491726.802845145,734250.4607652804
3,17372.902632704558,3215.352655402006,7839108.641318098,3987.9163504620415,14363218.155521821,7069942.793987587,812746.2313375395
5,18702.49149309232,2609.1415157182437,5395857.715283886,3976.782165757365,12548437.302080128,4721867.89591944,717599.5507459474
6,17642.858004640955,2377.2580039614613,5160928.912491042,2642.1189005477563,11691310.547484051,7013436.790822707,607385.6970850242
7,16431.632056826584,2720.9820651950754,4652441.826126916,3271.3679341462434,14663650.658180753,6108276.907961894,598072.9535639375
9,21810.271333399767,3521.9413558278034,7506094.1587580405,4200.764795230838,14751265.216643514,7568891.4347815905,1002238.1610659201
11,19586.17059240175,2627.2905801875672,6449843.535653047,3501.365405893539,11004496.132167965,4749810.544787761,546049.9204976084
12,20652.358491632393,2258.91850784724,4475400.443214903,2928.445016563958,10742170.410103627,5643575.817782983,543656.3098164377
13,21356.79185462663,2712.1119082040545,6382506.171819848,4392.157024811722,12468966.790920306,3976639.1901255124,664755.200311501
14,21015.01901787403,2930.699039338854,5280725.394584031,3993.5370812303563,12837759.589195639,5544322.879504977,717922.6982971772
16,21796.0067952304,3295.076788845549,7033532.231426707,4019.5873026757736,13332562.742349245,6276250.036652042,1033435.0328129253
18,11891.66917300747,1093.0991770677385,2608683.051950325,1953.8010748159259,6268169.708640849,2686978.972692631,325040.2616734616
19,20902.115176701463,2162.565200412191,4460821.146789532,5043.2428285546375,17882507.17314352,9511689.915576035,713932.8290291699
20,48237.23443998543,5363.764498309763,12986064.900343243,10599.46338708138,39941096.073547274,20260967.53514739,1523213.6754584718
21,10379.387651955649,1566.447666263148,4113793.6711132918,2932.474944581054,9599437.605974978,4372850.160750249,459974.4154167597
22,19771.914436059087,2162.6844728160772,4551469.893154336,3845.6292420367963,14273298.934818354,6770777.06286366,591076.3384973002
23,12215.771990177462,1393.441995379755,3297731.6972546475,2111.8949363937095,7181589.011614701,3311104.302204202,364914.2010381331
24,34682.59818248436,3746.708265945168,6918094.409142456,4766.160697699566,15416091.666298497,6416098.466970995,864554.400126033
25,46330.72273381382,4403.532785195411,12397911.700511638,9931.6951506218,35381980.535900995,17727572.787302144,1369259.6251824382
26,11790.42573841127,1298.2157584002832,2593376.043224592,2272.6417504437186,8101204.022540564,4238694.189047132,415713.66848249605
27,20274.250278609812,1707.530294495643,3459325.3206583434,3544.8034330307,10233570.51369148,3626748.6843672073,466494.3549522943
28,21578.039864532177,2444.059871248429,5755381.2679838855,3159.357385808915,10200884.636570679,3886885.6292370097,669868.6366527234
30,37779.489346319766,4379.879374379251,8675181.138092399,6395.690134852831,23256091.795800306,11275892.545053966,1091602.1590862346
31,16569.691166369976,2596.691161243977,5867116.096038383,3290.5274580123155,12056490.147110336,5611299.879429082,850419.3379134204
32,32604.046245218342,2985.296317101548,5987734.669681579,6787.735323850033,24706087.328620885,12621322.558301838,810077.5911741378
35,18129.89765131074,2133.1776921709206,3015128.880049914,2812.239370609003,9386977.927093554,4085623.558400673,373674.05697261635
36,9145.201036218044,637.8210353883476,1142483.3236690937,1165.1721278500527,3693637.7982989037,1788852.813898197,190519.15570481832
39,11953.743637771602,836.1636798691713,1841250.9989776833,1614.9706243301302,4209058.4521842515,1434325.8052859867,173341.36584414792
41,8519.979652784505,463.3496446830415,590554.5050526911,1145.3312500841066,3735811.6437465297,1935523.7165118838,50677.61305960515
43,13515.663436842031,1535.113461506432,2986713.963014461,1839.4366603905225,5395923.470183983,2148670.721413444,341194.072272451
46,56252.27970030442,5002.189743663222,9565628.937593713,8651.296912768767,27818934.841428466,12552472.352571817,1272851.9349752122
48,13586.89558532703,1603.9356121109745,3904126.051640361,3161.621613516324,12166216.323974121,6583097.53684073,454046.4245596979
50,21949.061791299995,1910.75180429142,5265413.686101985,4465.704206020066,15644196.947076939,8195043.688263761,596919.5467770281
51,8886.505157029209,625.8651568050952,749044.4425574073,1372.217193380949,5165309.18758406,3114024.3950495753,101264.4159084351
