senate_district,weighted_filers,filers_receiving_eitc,total_eitc_dollars,filers_receiving_ctc,total_ctc_dollars,refundable_ctc_dollars,hi_eitc_dollars
1,35717.84589510319,5192.135921648718,11012431.376635142,6980.589330795902,23666249.354604572,11475167.768375626,1259812.467307747
3,35005.46695274061,4914.996948778091,10217722.197603345,6500.309079536153,23508814.810935482,11121616.747915832,1383556.2892331786
4,35759.564124511075,5649.164179192378,13608714.695708964,7024.964523156756,28266751.122170188,13129068.01798073,1447339.3953480804
6,43333.27109554857,5615.171123479311,11675865.010686534,8212.78417775351,25784234.400852144,11041435.6738689,1384066.533372783
7,40417.12134382089,6295.46138504107,14088559.91736658,7245.336321577022,25378278.95251935,12461681.366382744,1604739.8991763028
8,42466.225645795515,5435.405671730687,11363677.007403463,7577.7361270756555,23974707.528008804,10256372.863383219,1519250.890252484
9,20117.8352216813,2088.685249480907,4832691.875946719,2193.904733949669,8461332.718067242,4169746.1732136947,580808.7467920575
10,47010.11682703552,4558.596873427008,10411745.99660226,9180.861139049994,30711894.289933477,14511585.830225475,1308050.084636543
11,67604.19086616294,7464.8609397317705,16444702.088471845,14588.910578403777,54900959.96438977,27740079.763975993,1924203.4447506294
13,42819.05049073496,5369.620511410616,11659293.971906662,6607.734046242418,20427384.3523496,7982484.341770971,1499707.1444177146
14,17586.284495346757,1225.3845114042465,2184294.799652072,2366.54516690963,7070265.141783005,3098436.7578532803,298518.9072915717
15,53519.95976056127,6574.319823518084,12946499.563119758,9749.348192148978,33313203.326149695,14804848.630491737,1833152.7078953416
16,48845.08561321096,6299.41568084555,16331531.024837617,11745.226482113361,41593179.82330948,21445923.694862578,2066552.3917395035
19,43892.77055454268,4289.080620050563,7911320.491154736,6351.157944266584,19175407.37671575,7991660.301813245,937087.1501598894
21,26101.65087137075,2055.350937758406,3933134.1125564007,2614.3785544371576,8250386.318753593,3717525.861478606,467944.3414908695
23,66558.68460207354,5703.704661003469,12240527.376896732,12472.818833967001,41605987.42854826,18461074.1472511,1547842.558604862
24,39542.662612161424,2642.162638745096,4121081.792666293,8105.886297603745,28396655.077282812,15270947.433753636,513523.42501621926
25,33348.29215765154,3781.1022213712918,9716206.700784877,6886.335737640988,27807909.928561557,14962204.34048929,1093239.177961884
