house_district,weighted_filers,filers_receiving_eitc,total_eitc_dollars,filers_receiving_ctc,total_ctc_dollars,refundable_ctc_dollars,hi_eitc_dollars
1,18489.030022602085,2539.050023417476,4866508.698648937,3130.488275299885,10767426.29530456,8534787.814073576,1946603.479459575
2,17500.14941257264,2789.6194317939435,7024699.13129888,3196.7814888884313,10453221.843529979,8092306.744703642,2809879.6525195525
3,17021.38012036017,3081.150146090304,7671941.082259612,3706.074975464724,13399730.576357722,10218047.681307433,3068776.432903845
5,18529.610224764292,2775.600246350709,5552599.868567146,3854.9502810121994,12209155.987962691,8625750.26875518,2221039.947426859
6,17406.922205735704,2290.4022073641036,5390158.1752098445,2486.1404945514196,11101422.649536598,8778774.877684647,2156063.270083938
7,16164.497967915904,2584.2079782060496,5258478.7737492435,3093.526929989453,13912201.063550849,8144259.62627878,2103391.509499698
9,21453.184831478673,3727.134856739123,8784793.580321774,3931.5326563805597,13935075.406036805,11388855.6297061,3513917.4321287093
11,19293.87020025204,2534.5501903648246,6175091.113084041,3318.1662108535015,10424835.096336147,8052352.996265585,2470036.445233617
12,20550.732020401476,2569.632034205914,5096970.52142999,2847.134307834075,10628534.218839275,8521868.722134778,2038788.2085719963
13,20989.5541058372,2505.434158403728,6579947.566282676,4103.307615717054,11753673.615397051,8988147.285583094,2631979.0265130703
14,20850.304316200956,3076.404337742075,6337202.251690239,3866.1730164589144,12414681.04945263,9812170.775567543,2534880.900676096
16,21639.56275778271,3700.412752799764,8276973.981877716,3948.236826969074,13010751.357428463,10175320.7179806,3310789.5927510867
18,11768.433163272712,1030.8431678288914,2553143.0062330444,1842.3864378841656,5973449.306317013,4556000.270487467,1021257.2024932178
19,20785.70817167105,2403.098193054812,5261449.383738559,4975.968512894355,17529815.94254225,13819206.969296576,2104579.7534954236
20,47707.521161146025,5423.771219618187,13507584.469816208,10213.597383712997,38455622.7976013,29149063.793182425,5403033.787926484
21,10216.360101809409,1529.1201164030101,4247443.760465337,2764.9503582593284,9105253.857236166,7315478.810769331,1698977.5041861348
22,19575.386960468066,2222.7969994757314,5007868.645645777,3656.556298256104,13674323.499658572,9922421.2824119,2003147.4582583113
23,12124.919916935807,1618.409928508644,3299309.851540691,2038.9986887138052,6961607.769988994,5426769.3385021575,1319723.9406162768
24,34407.543811901975,3965.533897861408,7584422.273166053,4586.525083909757,14834054.395304238,11156117.52589091,3033768.9092664216
25,45907.330277863875,4421.120327357194,12919776.67570671,9650.743580976608,34386198.62545432,26425203.22960276,5167910.670282684
26,11621.887951019016,1240.017970206945,3223616.0598202003,2157.210494364933,7668178.902429493,6337497.068037817,1289446.4239280801
27,20189.70575241368,2042.9457697681703,3857297.289223135,3476.156759735083,10059334.986572769,7531643.964697724,1542918.9156892542
28,21259.10716832849,2427.8671724316746,5536363.815476704,2934.3114014945945,9496635.945479538,6881240.474272677,2214545.5261906814
30,37483.20726189461,4684.457293663886,9837697.717711132,6216.823296043427,22405657.45163429,17665135.188943088,3935079.087084453
31,16269.4944233436,2466.094419075907,6572115.322036882,3078.7742030918344,11313899.070934713,8287326.5027192775,2628846.128814753
32,32446.433933165114,3402.6640064978974,6666583.52105249,6557.623856232509,23843670.641895384,19191332.348708697,2666633.408420996
35,18148.054141208675,2732.774186417604,3840816.2305806987,2809.070371674229,9292815.315068774,7284872.548557913,1536326.4922322796
36,9126.373600362325,765.7136007533306,1339538.1435015448,1165.6211828708606,3673218.3721367316,3079774.3659919733,535815.2574006179
39,11915.46323339639,935.0032782405394,1866193.9350090942,1572.0073473766756,4132369.165589352,3173510.051632517,746477.5740036377
41,8502.330004575788,514.2599959402671,679699.0192590696,1151.1575784131344,3721679.916713642,2967853.467456596,271879.60770362784
43,13421.012685209738,1517.5427088441713,2992690.835783193,1767.1445767199298,5121722.008212671,4141700.861331947,1197076.3343132772
46,55961.408083600945,5337.278128428406,10447303.925425991,8414.29521996991,27000383.1834902,21142000.22221975,4178921.5701703965
48,13489.389853267545,1939.1698798226068,4519159.545766849,3019.4931194351084,11652600.786872692,8868134.855103914,1807663.8183067397
50,21876.837092264796,2147.407107278012,5534788.113414621,4266.921026271572,15034943.667520078,12331069.357029943,2213915.2453658483
51,8884.432169938857,709.5121709354472,926556.6115696883,1359.6604702400236,5141461.85026519,4311166.967036556,370622.64462787536
