senate_district,weighted_filers,filers_receiving_eitc,total_eitc_dollars,filers_receiving_ctc,total_ctc_dollars,refundable_ctc_dollars,hi_eitc_dollars
1,35315.9729230613,5578.602958104062,11460800.106605543,6717.602413417728,22796146.604636688,18036050.08670096,4584320.042642217
3,34528.112907909854,4836.262905263407,10483857.728362262,6142.606602316548,22458660.94449103,16437994.726396028,4193543.091344905
4,35267.50412297963,5645.164169855115,13819727.894765861,6607.753429471839,26588350.867114678,17919882.19970627,5527891.157906344
6,42797.74909410362,5848.049123083398,13308021.26879099,7814.728526436506,24722320.471347503,19433070.094382107,5323208.507516397
7,39915.05633350729,6588.456374670254,14981435.840469915,6928.308605140757,24313464.506674025,19134330.108628593,5992574.336187966
8,42064.40280434216,5677.062832501775,12961521.90542553,7271.513502635914,23131765.765468843,18371315.924227,5184608.762170212
9,19945.628330289,2320.2183588133994,5071174.903151225,2126.934356045518,8092987.286805431,6123392.64976301,2028469.96126049
10,46689.540561831964,4847.920612610349,11500430.318760373,8956.85568113942,29807837.01365888,23425629.074483056,4600172.127504149
11,67082.11802791507,8306.708111573756,18130471.21118307,14250.758524484834,53275329.029097974,40284248.52678357,7252188.484473228
13,42264.8999511299,5258.229974180204,11943524.802738318,6204.747642070017,19297469.750429884,14560715.834277458,4777409.9210953275
14,17496.270374791206,1280.3903893991123,2359513.7546809446,2301.517448279239,6863765.107985994,5669870.079429335,943805.5018723779
15,52917.74833067705,6645.188397491477,14282744.548426326,9276.025333894904,31756266.36042875,24118794.02709474,5713097.8193705315
16,48311.93285693409,6682.582921879309,17924766.071702216,11242.633898027252,39956298.514135905,32225877.4456507,7169906.428680886
19,43552.39634428288,4517.386409142271,8539865.471041122,6088.080142183297,18236581.315249152,14241281.465201471,3415946.1884164494
21,26175.974093326084,2658.434163757319,4307684.927911896,2635.1478337548233,8188800.132100879,6324828.055320516,1723073.9711647583
23,66008.70811783317,5715.108174016503,12876148.556279767,12031.664425553983,40341544.1925927,30574707.526109356,5150459.422511907
24,39542.96579596126,3162.705823984983,4831235.957907864,7930.516855298758,27974417.106298313,22467958.773135163,1932494.3831631457
25,33100.15813408683,4082.5282015640587,10453857.628160544,6631.115107808899,26687601.650134504,20947216.006635543,4181543.051264218
