tax_year,scenario,population,metric,value
2024,baseline,all,weighted_persons,1386691.0381362967
2024,baseline,all,weighted_filers,732946.3391052485
2024,baseline,all,poverty_rate,0.2122712527715027
2024,baseline,all,persons_in_poverty,294354.6438722073
2024,baseline,all,poverty_gap_$,1843963411.429406
2024,no_eitc,all,poverty_rate,0.23790610157085149
2024,no_eitc,all,persons_lifted,35547.61509403598
2024,no_eitc,all,gap_closed_$,115241240.56630635
2024,no_ctc,all,poverty_rate,0.222163689862908
2024,no_ctc,all,persons_lifted,13717.75385997881
2024,no_ctc,all,gap_closed_$,19112941.089385986
2024,no_hi_eitc,all,poverty_rate,0.22238541228370043
2024,no_hi_eitc,all,persons_lifted,14025.214353845571
2024,no_hi_eitc,all,gap_closed_$,40708630.317453146
2024,no_credits,all,poverty_rate,0.25996025999792416
2024,no_credits,all,persons_lifted,66129.91893849574
2024,no_credits,all,gap_closed_$,219237003.99816656
2024,expanded_ctc_2021,all,poverty_rate,0.18522380165635755
2024,expanded_ctc_2021,all,persons_lifted,37506.45806580136
2024,expanded_ctc_2021,all,gap_closed_$,150612707.1172831
2024,hi_eitc_100pct,all,poverty_rate,0.20142475751298278
2024,hi_eitc_100pct,all,persons_lifted,15040.737770177424
2024,hi_eitc_100pct,all,gap_closed_$,49586126.33886886
2024,hi_ctc_300,all,poverty_rate,0.21067816302737888
2024,hi_ctc_300,all,persons_lifted,2209.1232711233315
2024,hi_ctc_300,all,gap_closed_$,12262482.646665573
2024,hi_ctc_650,all,poverty_rate,0.20897689540422215
2024,hi_ctc_650,all,persons_lifted,4568.255837626231
2024,hi_ctc_650,all,gap_closed_$,26316440.23270321
2024,hi_ctc_1000,all,poverty_rate,0.20669804944111295
2024,hi_ctc_1000,all,persons_lifted,7728.31111196283
2024,hi_ctc_1000,all,gap_closed_$,39976940.58115888
2024,baseline,head_of_household,poverty_rate,0.3842723034844489
2024,baseline,head_of_household,persons_in_poverty,87131.66465467234
2024,baseline,head_of_household,weighted_persons,226744.58675421675
2024,no_eitc,head_of_household,persons_lifted,17645.69105584883
2024,no_eitc,head_of_household,poverty_rate,0.46209418804822966
2024,no_ctc,head_of_household,persons_lifted,6481.640881253654
2024,no_ctc,head_of_household,poverty_rate,0.412857951212743
2024,no_hi_eitc,head_of_household,persons_lifted,7412.131556111461
2024,no_hi_eitc,head_of_household,poverty_rate,0.4169616464240709
2024,no_credits,head_of_household,persons_lifted,28547.341038006256
2024,no_credits,head_of_household,poverty_rate,0.5101731747980851
2024,expanded_ctc_2021,head_of_household,persons_lifted,24786.388092483518
2024,expanded_ctc_2021,head_of_household,poverty_rate,0.27495816969500103
2024,hi_eitc_100pct,head_of_household,persons_lifted,8315.798055058694
2024,hi_eitc_100pct,head_of_household,poverty_rate,0.34759756661819363
2024,hi_ctc_300,head_of_household,persons_lifted,1311.7060445926036
2024,hi_ctc_300,head_of_household,poverty_rate,0.3784873537162128
2024,hi_ctc_650,head_of_household,persons_lifted,2788.653414943881
2024,hi_ctc_650,head_of_household,poverty_rate,0.3719736486196839
2024,hi_ctc_1000,head_of_household,persons_lifted,4808.178707876432
2024,hi_ctc_1000,head_of_household,poverty_rate,0.36306703999082324
