scenario,tax_year,act46_baseline_$M,bracket_delta_static_$M,eti_response_$M,pte_shift_$M,bracket_delta_post_$M,bracket_delta_cor_scaled_$M,reec_savings_$M,cgec_savings_$M,tcra_savings_$M,credit_total_$M,total_impact_$M,filers_1m_post_response,reec_base_state_cost_$M,reec_scen_state_cost_$M,reec_scen_new_certs_$M,reec_scen_refundable_$M,reec_scen_nonref_usage_$M,reec_scen_end_stock_$M,reec_base_end_stock_$M,reec_eligibility_share,reec_pro_rata_factor,reec_suppression_factor,reec_ind_refundable_share,reec_interpretation
LOW,2027,2630.97,83.66,-8.39,-0.0,75.27,87.86,49.65,0.0,0.0,49.65,124.92,2059.0,98.15,48.5,40.0,20.91,27.59,27.59,47.12,0.8105,0.77,0.77,0.3134,A
LOW,2028,2793.28,89.77,-15.55,-0.0,74.22,82.02,49.94,15.46,0.0,65.4,139.62,2096.0,93.58,43.64,40.0,19.81,23.82,23.82,47.29,0.8106,0.7746,0.7746,0.3133,A
LOW,2029,2644.14,101.3,-25.74,-0.0,75.56,85.81,54.5,16.53,7.68,78.7,154.26,2043.0,95.9,41.4,40.0,19.11,22.29,22.29,49.77,0.8068,0.7524,0.7524,0.315,A
LOW,2030,2752.77,108.52,-35.03,-0.0,73.5,83.79,88.51,17.62,0.0,106.13,179.63,1972.0,99.61,11.1,0.0,0.0,11.1,11.1,53.57,1.0,1.0,1.0,0.23,A
LOW,2031,2825.73,116.07,-44.96,-0.0,71.11,81.84,99.49,17.8,0.0,117.29,188.4,1892.0,105.04,5.55,0.0,0.0,5.55,5.55,58.23,1.0,1.0,1.0,0.23,A
MID,2027,2643.39,80.99,-5.55,-0.0,75.44,87.64,49.07,0.0,0.0,49.07,124.51,2225.0,100.65,51.59,40.0,24.0,27.58,14.85,25.97,0.8105,0.5686,0.7851,0.3134,B
MID,2028,2815.67,88.32,-10.29,-0.0,78.03,85.54,53.93,20.6,0.0,74.52,152.55,2273.0,97.49,43.56,40.0,22.74,20.82,11.21,26.68,0.8106,0.5812,0.7925,0.3133,B
MID,2029,2676.86,101.65,-17.23,-0.0,84.43,94.71,58.56,22.14,7.87,88.57,173.0,2268.0,99.55,40.98,40.0,22.15,18.84,10.14,28.06,0.8068,0.5736,0.788,0.315,B
MID,2030,2797.31,110.56,-23.7,-0.0,86.87,97.46,96.16,23.72,0.0,119.87,206.74,2307.0,102.71,6.55,0.0,0.0,6.55,3.53,29.95,1.0,1.0,1.0,0.23,B
MID,2031,2882.83,119.85,-30.84,-0.0,89.02,100.42,100.2,24.07,0.0,124.27,213.29,2362.0,102.49,2.29,0.0,0.0,2.29,1.23,30.35,1.0,1.0,1.0,0.23,B
HIGH,2027,2683.81,83.22,-2.67,-0.0,80.55,92.17,65.41,0.0,0.0,65.41,145.96,2417.0,112.66,47.24,40.0,23.15,24.09,6.02,14.0,0.8105,0.4564,0.8707,0.3134,B
HIGH,2028,2876.18,93.13,-5.18,-0.0,87.95,94.39,68.98,26.63,0.0,95.61,183.56,2552.0,110.18,41.2,40.0,22.1,19.1,4.78,14.52,0.8106,0.4695,0.8751,0.3133,B
HIGH,2029,2758.5,110.37,-8.92,-0.0,101.45,110.43,72.03,28.9,8.27,109.2,210.65,2641.0,112.15,40.12,40.0,21.7,18.42,4.61,15.13,0.8068,0.465,0.8736,0.315,B
HIGH,2030,2903.47,122.75,-12.56,-0.0,110.2,119.11,110.52,31.26,0.0,141.79,251.99,2745.0,114.18,3.66,0.0,0.0,3.66,0.91,15.77,1.0,1.0,1.0,0.23,B
HIGH,2031,3015.59,135.76,-16.59,-0.0,119.18,128.52,116.44,32.05,0.0,148.48,267.66,2789.0,117.17,0.73,0.0,0.0,0.73,0.18,16.45,1.0,1.0,1.0,0.23,B
RECESSION,2027,2538.05,76.76,-5.28,-0.0,71.48,86.49,49.05,0.0,0.0,49.05,120.53,2049.0,100.65,51.6,40.0,24.04,27.56,14.84,25.97,0.8082,0.5692,0.7854,0.3144,B
RECESSION,2028,2742.78,85.96,-10.08,-0.0,75.89,85.4,53.92,20.6,0.0,74.52,150.41,2221.0,97.49,43.57,40.0,22.77,20.8,11.2,26.68,0.8091,0.5816,0.7927,0.314,B
RECESSION,2029,2646.96,102.09,-17.26,-0.0,84.84,96.24,58.56,22.14,7.87,88.57,173.41,2268.0,99.55,40.98,40.0,22.15,18.83,10.14,28.06,0.8065,0.5737,0.7881,0.3151,B
RECESSION,2030,2800.86,113.39,-24.19,-0.0,89.19,99.94,96.16,23.72,0.0,119.87,209.06,2400.0,102.71,6.55,0.0,0.0,6.55,3.53,29.95,1.0,1.0,1.0,0.23,B
RECESSION,2031,2914.9,124.56,-31.65,-0.0,92.91,103.66,100.2,24.07,0.0,124.27,217.18,2370.0,102.49,2.29,0.0,0.0,2.29,1.23,30.35,1.0,1.0,1.0,0.23,B
