tax_year,option,kind,typical_year_M,ty2022_level_M
2026,cap9,static,13.15460214089247,28.351652594830192
2026,cap9,behavioral,10.827570998180846,23.32608064422705
2026,ordinary,static,25.705420095476796,56.499071336993744
2026,ordinary,behavioral,20.249823837319198,44.472624401812105
2027,cap9,static,13.113408560359971,28.810293207867645
2027,cap9,behavioral,10.772828113437443,23.673932425045308
2027,ordinary,static,37.9658931053633,84.84472809466638
2027,ordinary,behavioral,28.656705607636432,63.9955469985991
2028,cap9,static,13.963548981193354,30.584125527241014
2028,cap9,behavioral,11.474222155373623,25.139409999152047
2028,ordinary,static,40.43582274923324,90.23787416989798
2028,ordinary,behavioral,30.534345680629016,68.08414854750738
2029,cap9,static,14.53796763804345,31.96657970322199
2029,cap9,behavioral,11.931947225314483,26.25656377180718
2029,ordinary,static,42.64320751661091,95.23349812518398
2029,ordinary,behavioral,32.205103287907384,71.8805238451863
2030,cap9,static,15.454954694169661,33.85679025925394
2030,cap9,behavioral,12.679659759886322,27.80474267186836
2030,ordinary,static,45.149413209195366,100.68050746598628
2030,ordinary,behavioral,34.10262326795222,76.00589402997855
2031,cap9,static,16.464238804816343,35.912339901484984
2031,cap9,behavioral,13.506681266955859,29.493304602602173
2031,ordinary,static,48.119550521629286,107.05092825176867
2031,ordinary,behavioral,36.34945876389218,80.82699072149637
