county,band,synthetic_per_year,weight,calibrated_per_year,maui_recorded_per_year,mls_per_year,coverage_rel_maui
Maui,Under $1M,911.9847547079501,1.4978320557972944,1366.0,1366.0,,
Maui,$1M-$3M,718.3891912796137,1.063142387540086,763.75,763.75,684.0,1.0
Maui,$3M-$6M,87.9576036759224,1.1880723852485529,104.5,104.5,88.8,1.0
Maui,$6M-$10M,19.425836674905177,1.2354680213596076,24.0,24.0,20.4,1.0
Maui,$10M+,12.74261366161358,1.1379141191167437,14.500000000000002,14.5,13.8,1.0
Honolulu,Under $1M,5024.150574420294,1.4978320557972944,7525.333783519107,,,
Honolulu,$1M-$3M,2633.5408271458905,0.8619216122520581,2269.9057556652047,,2043.1,0.995
Honolulu,$3M-$6M,132.20796102918052,1.2291907085794092,162.50879729729732,,130.4,1.059
Honolulu,$6M-$10M,19.382750966415344,1.4500218164802492,28.10541176470588,,25.2,0.948
Honolulu,$10M+,9.33923289645246,0.9720563744602221,9.078260869565216,,9.0,0.96
Hawaii,Under $1M,1714.9157098247222,1.4978320557972944,2568.65572316584,,,
Hawaii,$1M-$3M,321.0811321210386,1.636213470163572,525.3572733918129,,470.5,1.0
Hawaii,$3M-$6M,34.39271823886193,2.285668722501115,78.61036036036036,,66.8,1.0
Hawaii,$6M-$10M,15.411992177378185,1.6717310511077554,25.76470588235294,,21.9,1.0
Hawaii,$10M+,18.914365083393907,0.9610439553079815,18.17753623188406,,17.3,1.0
Kauai,Under $1M,365.4797232361435,1.4978320557972944,547.427245207019,,,
Kauai,$1M-$3M,321.1942894070462,0.9580904682415317,307.73318713450294,,275.6,1.0
Kauai,$3M-$6M,35.58129729371891,1.5908404406788976,56.604166666666664,,48.1,1.0
Kauai,$6M-$10M,7.783589903352768,2.02537724598804,15.764705882352942,,13.4,1.0
Kauai,$10M+,5.5775129083744694,0.7158663169014642,3.9927536231884053,,3.8,1.0
