fy,dotax_collections_$M,dotax_collections_by_sale_$M,maui_change_static_own_prices_$M,state_change_static_own_prices_$M,maui_change_static_fy2028_prices_$M,state_change_static_fy2028_prices_$M,maui_change_central_own_prices_$M,state_change_central_own_prices_$M,maui_change_central_fy2028_prices_$M,state_change_central_fy2028_prices_$M,total_static_own_prices_$M,total_central_own_prices_$M
2016,66.083,66.083,7.462837582999997,25.08175507659122,22.078316377024077,76.06323989052193,5.419059146435112,18.024365682749185,14.807347938401751,50.93756383712059,91.16475507659122,84.10736568274919
2017,94.537,94.537,12.088213886999997,40.33530140842452,28.189470060227325,94.87772564883274,8.131786268131341,26.71003872583875,18.120050747026337,60.211050906340574,134.87230140842453,121.24703872583876
2018,100.603,100.603,12.600771113000004,41.91433784372717,29.022120504587676,97.70104968802953,8.803789603897425,28.947866105769965,19.038570028122308,63.48523994484114,142.51733784372715,129.55086610576996
2019,85.965,85.965,14.05111599,48.030276411864854,28.63092712115706,100.82535816074734,9.364244199918943,31.69615325049422,18.718121402079174,66.35465496848285,133.99527641186486,117.66115325049422
2020,61.11,61.11,12.316735882499996,40.13510566179403,24.77416674224441,84.0153276221318,7.993839961327671,25.336933311350457,16.297955262287097,55.007462903679205,101.24510566179403,86.44693331135045
2021,62.725,99.0,36.4409420825,125.4850025798951,59.94827673143749,208.51256858991547,23.8132769866674,82.04160264060529,38.33389015981409,134.11183842554493,224.48500257989508,181.04160264060528
2022,188.418,152.2,50.2483111265,172.9029616870282,75.13112039864588,258.4031569627782,31.738430653926912,109.25496475630283,47.05086536994999,161.91280867072874,325.1029616870282,261.45496475630284
2023,92.132,92.132,26.189270223500003,90.27081951536032,36.72295396058143,127.09267346584721,16.599596058487172,57.221337866446966,23.158699529518934,80.31293964279578,182.4028195153603,149.35333786644696
2024,97.411,97.411,36.4269447515,124.97861791036951,46.88741249363595,160.94440708810174,22.72841378372049,77.99662916883199,29.103195710294163,100.01516258252826,222.3896179103695,175.407629168832
2025,96.045,96.045,27.78856436900001,97.09862276491056,33.503715413663215,116.70930014145775,17.93077781693599,62.99753226984261,21.448612410270545,75.0480701255333,193.14362276491056,159.0425322698426
2026,,,17.6884016175,61.344816235836404,20.17661543402241,70.04514855342936,12.109694514635333,42.07175359163094,13.726934536224991,47.79711007193045,,
