band,category,sales,tax_now,tax_hd2_static,tax_hd2,avg_change_per_sale
Under $600K,mf,0.75,0.034204864512,0.051307296768,0.05119310538954771,0.022803243008
Under $600K,nonowner,435.5,204549.1914647022,204549.1914647022,204481.00840088064,0.0
Under $600K,nonres,173.75,48595.76452079433,48595.76452079433,48595.76452079433,0.0
Under $600K,owner,315.25,86121.63627254887,86121.63627254887,86121.63627254887,0.0
$600K-$1M,mf,0.5,897.2426402201601,672.9319801651201,674.432980581874,-448.62132011008
$600K-$1M,nonowner,213.0,440204.59697533376,353018.4357654672,353755.6774426031,-409.32470051580555
$600K-$1M,nonres,46.75,77273.99620010804,77273.99620010804,77273.99620010804,0.0
$600K-$1M,owner,147.25,247417.82192761492,189125.73289142238,189551.5414482231,-395.8715724019867
$1M-$2M,mf,1.5,5774.6339241197575,2887.3169620598787,2909.2205631283373,-1924.8779747065857
$1M-$2M,nonowner,445.0,2479461.226938138,2106092.52751169,2110370.5763207353,-839.030785227973
$1M-$2M,nonres,64.0,273269.2914790386,273269.2914790386,273269.2914790386,0.0
$1M-$2M,owner,374.0,1517587.842652865,1236487.1395959374,1239503.4992968375,-751.6061579062234
$2M-$3M,mf,0.25,3346.2000000000007,1003.8600000000002,1023.5332561300179,-9369.360000000002
$2M-$3M,nonowner,96.25,1408757.956907259,2698309.6408938253,2555550.5995984897,13397.939573886402
$2M-$3M,nonres,38.25,468649.3231079296,468649.3231079296,468649.3231079296,0.0
$2M-$3M,owner,64.75,768125.1207019521,831829.2093790084,827169.9950130361,983.8469293753861
$3M-$4M,mf,0.75,13964.241674240002,4189.272502272001,4271.372228265303,-13033.292229290668
$3M-$4M,nonowner,50.5,1035767.0649539507,4223000.779300946,3637395.901688586,63113.5388979603
$3M-$4M,nonres,10.0,167685.84467876304,167685.84467876304,167685.84467876304,0.0
$3M-$4M,owner,18.5,311815.0820521985,712459.1584041476,680242.1953704652,21656.43655956482
$4M-$6M,mf,0.25,8516.5703168,2713.2851584,2792.430870623825,-23213.1406336
$4M-$6M,nonowner,51.75,2127597.5438406365,9462053.537511123,7199967.788621332,141728.6182351785
$4M-$6M,nonres,14.25,481698.0477029548,481698.0477029548,481698.0477029548,0.0
$4M-$6M,owner,9.5,311977.0811590079,865871.6780514737,796115.9240058815,58304.694409733245
$6M-$10M,mf,0.25,17372.399616000002,2895.3999360000003,3029.7818113337767,-57907.99872000001
$6M-$10M,nonowner,26.75,2229234.815032569,10395080.244626107,7144628.540950683,305265.2497044313
$6M-$10M,nonres,10.75,752143.6821030073,752143.6821030073,752143.6821030073,0.0
$6M-$10M,owner,7.25,487872.66101184004,1562648.9222880004,1373744.9384692071,148245.00155533248
$10M+,nonowner,14.5,3161225.115107505,15169800.470596025,10050635.946929453,828177.6107233462
$10M+,nonres,9.5,2595670.002262938,2595670.002262938,2595670.002262938,0.0
$10M+,owner,3.0,383973.56444262405,1463423.5468941315,1239153.4643446489,359816.6608171691
